QuestionID,Year,Exam,Subject,Chapter,Topic,Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation
Pharm-Amicro-Antibio-017,2026,Medicine - 8 January (M),Pharmacology,Antimicrobials,Antibiotics,A patient with chronic kidney disease requires an antibiotic with minimal dose adjustment. Which drug should be avoided?,Thiazide,Gentamicin,Amoxicillin,Ceftriaxone,,B,Gentamicin is nephrotoxic and requires dose adjustment in CKD.
Pharm-Amicro-Antibio-018,2026,Medicine - 8 January (M),Pharmacology,Antimicrobials,Antibiotics,An HIV patient with pneumonia is treated with cotrimoxazole. What is its mechanism of action?,DNA gyrase inhibition,Protein synthesis inhibition,Folate synthesis inhibition,RNA polymerase inhibition,,C,
Pharm-Amicro-Antibio-019,2026,Medicine - 8 January (M),Pharmacology,Antimicrobials,Antibiotics,A woman presents with vaginal infection and complains of metallic taste. Which drug is responsible?,Fluconazole,Metronidazole,Clindamycin,Doxycycline,,B,
Pharm-Amicro-Amalaria-001,2026,Medicine - 8 January (M),Pharmacology,Antimicrobials,Antimalarials,A patient treated for malaria develops dark-colored urine. Which drug is responsible?,Primaquine,Quinine,Chloroquine,Artesunate,,A,
Pharm-Amicro-parasitic-001,2026,Gynecology - 7 January (E),Pharmacology,Antimicrobials,Antiparasitic Agents,Drug of choice for lymphatic filariasis is:,Albendazole,Ivermectin,Diethylcarbamazine,Praziquantel,,C,
Pharm-Amicro-parasitic-002,2026,Radiology - 5 January (M),Pharmacology,Antimicrobials,Antiparasitic Agents,"A person lives near a river and takes a drug from an annual program. After a few days, he develops fever, rashes, and lymphadenopathy. Which drug is responsible?",Ivermectin,Albendazole,Praziquantel,Doxycycline,,A,
Pharm-Amicro-parasitic-003,2026,Anesthesia - 5 January (M),Pharmacology,Antimicrobials,Antiparasitic Agents,"A patient lives by the river and presented to ER two days after taking an anti-parasitic drug for an annual program, with rash, orbital pain, fever, and myalgias. Which drug is responsible for this condition?",Praziquantel,Ivermectin,Albendazole,Pyrantel pamoate,Mebendazole,B,"Ivermectin side effects are fever, rash (urticaria), swollen lymph nodes, muscle/joint pain (arthralgia), and low blood pressure (hypotension). This is called mazutoni reaction."
Pharm-Amicro-parasitic-004,2026,Medicine - 7 January (M),Pharmacology,Antimicrobials,Antiparasitic Agents,Drug of choice for Taenia infection is:,Albendazole,Metronidazole,Praziquantel,Mebendazole,,C,EXPLANATION: DOC for T. Solium – Praziquental > Niclosamide > Albendazole. DOC for C. Difficile – Metronidazole > Vancomycin (Levinson). DOC for mild C. Difficile – Metronidazole (Levinson). DOC for Severe and resistant C.Difficile – Vancomycin (Levinson)
Pharm-Amicro-antiTB-001,2026,Gynecology - 5 January (M),Pharmacology,Antimicrobials,Antitubercular Therapy,"A patient started on first-line antitubercular therapy develops significant gastrointestinal upset. Among the first-line drugs listed below, which is most commonly responsible?",Isoniazid,Rifampicin,Pyrazinamide,Ethambutol,,C,
Pharm-Amicro-antiTB-002,2026,Gynecology - 6 January (M),Pharmacology,Antimicrobials,Antitubercular Therapy,A patient develops thrombocytopenia while on treatment for TB due to which drug,Rifampicin,Isoniazid,Pyrazinamide,Ethambutol,Streptomycin,A,
Pharm-Amicro-antiTB-003,2026,Gynecology - 6 January (M),Pharmacology,Antimicrobials,Antitubercular Therapy,"A pregnant female was treated for tuberculosis with anti-tubercular therapy (ATT). After delivery, her newborn was found to have deafness, which drug used in her treatment most likely caused this adverse effect?",Isoniazid,Rifampicin,Pyrazinamide,Ethambutol,Streptomycin,E,"Streptomycin is an aminoglycoside and is ototoxic. It can cross the placenta and cause congenital deafness in the fetus, which is why it is contraindicated in pregnancy. HRZE drugs are generally safe."
Pharm-Amicro-antiTB-004,2026,Gynecology - 6 January (M),Pharmacology,Antimicrobials,Antitubercular Therapy,A known tb patient is taking anti tubercular drugs. Which vitamin should be added to prevent one of the most common complication?,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,E,"Isoniazid interferes with the metabolism of Pyridoxine (Vitamin B6), leading to a functional deficiency. This deficiency often causes peripheral neuropathy (numbness, tingling, pain in hands and feet). Supplementation with Vitamin B6 (Pyridoxine) is standard practice for all patients taking Isoniazid to prevent this dose-dependent neurotoxicity."
Pharm-Amicro-antiTB-005,2026,Gynecology - 7 January (E),Pharmacology,Antimicrobials,Antitubercular Therapy,Patient on ATT (anti-TB therapy) develops red-green color blindness: drug responsible is:,Isoniazid,Rifampin,Ethambutol,Pyrazinamide,,C,Isotiazid – Peripheral neuropathy - Rifampicin – Red/Orange Urine - Ethambutol – Optic neuritis - Pyrazinamide – Hyperuricemia (Gout)
Pharm-Amicro-antiTB-006,2026,Surgery - 7 January (E),Pharmacology,Antimicrobials,Antitubercular Therapy,A patient on ATT can’t differentiate between traffic light colour which of the following drug is most likely responsible?,Isoniazid,Rifampicin,Ethambutol,Pyrazinamide,Streptomycin,C,#NAME?
Pharm-Amicro-Antituss-001,2026,Gynecology - 7 January (E),Pharmacology,Antimicrobials,Antitussives,A patient presents with persistent nocturnal dry cough. Which drug is most appropriate for symptomatic relief?,Codeine,Dextromethorphan,Salbutamol,Prednisolone,,B,
Pharm-Amicro-viral-001,2026,Gynecology - 6 January (M),Pharmacology,Antimicrobials,Antivirals,A patient with a viral infection is treated with an antiviral drug. The drug works by interfering with viral replication inside host cells. Which of the following mechanisms best describes the action of many antiviral agents?,Inhibition of cell wall synthesis,Inhibition of protein synthesis,Inhibition of folate metabolism,Disruption of bacterial ribosomes,Inhibition of peptidoglycan formation,B,
Microbio-Bacterio-GNC-001,2026,Surgery - 6 January (E),Microbiology,Bacteriology,Gram‑negative cocci,What is the most common cause of bacterial meningitis in a 12-year-old child?,Haemophilus influenzae,Candida albicans,Neisseria meningitidis,Streptococcus pneumoniae,,C,
Microbio-Bacterio-GPC-001,2026,Medicine - 5 January (E),Microbiology,Bacteriology,Gram‑positive cocci,What is the preferred drug of choice for treating an Enterococcus faecalis infection?,Vancomycin,Ampicillin,Metronidazole,Ciprofloxacin,,B,"<div class=""explanation-container""><div class=""explanation-text""><div style=""color:#16a34a;font-weight:800;margin-bottom:6px;"">✔ Correct Answer: Ampicillin</div><div style=""margin-bottom:8px;""><b>Explanation:</b> Enterococcus faecalis is classically sensitive to ampicillin, which remains the first-line treatment in most uncomplicated infections. Severe or resistant cases may require combination therapy.</div><div style=""margin-bottom:10px;padding:8px 10px;background:#ecfdf5;border-left:4px solid #16a34a;border-radius:6px;""><b>Clinical Pearl:</b> Enterococcus = ampicillin first-line unless resistance or endocarditis.</div><br><div style=""color:#dc2626;margin-bottom:4px;""><b>✘ Vancomycin:</b></div>Used for resistant strains (VRE) or penicillin allergy.<br><br><div style=""color:#dc2626;margin-bottom:4px;""><b>✘ Metronidazole:</b></div>Anaerobic and protozoal infections.<br><br><div style=""color:#dc2626;margin-bottom:4px;""><b>✘ Ciprofloxacin:</b></div>Not reliable for Enterococcus coverage.</div></div></div>"
Microbio-Bacterio-GPC-002,2026,Medicine - 5 January (E),Microbiology,Bacteriology,Gram‑positive cocci,Which test would best help identify Staphylococcus aureus after observing gram-positive cocci in clusters on gram staining?,Coagulase test,Catalase test,Oxidase test,PYR test,,A,"<div class=""explanation-container""><div class=""explanation-text""><div style=""color:#16a34a;font-weight:800;margin-bottom:6px;"">✔ Correct Answer: Coagulase test</div><div style=""margin-bottom:8px;""><b>Explanation:</b> Coagulase test differentiates Staphylococcus aureus (coagulase positive) from other staphylococcal species after gram-positive cocci in clusters are seen.</div><div style=""margin-bottom:10px;padding:8px 10px;background:#ecfdf5;border-left:4px solid #16a34a;border-radius:6px;""><b>Clinical Pearl:</b> Catalase test separates staph vs strep; coagulase identifies S. aureus.</div><br><div style=""color:#dc2626;margin-bottom:4px;""><b>✘ Catalase test:</b></div>Only distinguishes Staphylococcus (positive) from Streptococcus (negative).<br><br><div style=""color:#dc2626;margin-bottom:4px;""><b>✘ Oxidase test:</b></div>Used for organisms like Pseudomonas, not Staphylococcus.<br><br><div style=""color:#dc2626;margin-bottom:4px;""><b>✘ PYR test:</b></div>Mainly used for Group A Streptococcus and Enterococcus identification.</div></div></div>"
Microbio-Bacterio-GPC-003,2026,Medicine - 5 January (E),Microbiology,Bacteriology,Gram‑positive cocci,"Which organism likely caused an infection in a boy receiving IV fluids, traced back to a healthcare worker's hand infection?",E. coli,Pseudomonas,Staphylococcus aureus,Klebsiella,,C,"<div class=""explanation-container""><div class=""explanation-text""><div style=""color:#16a34a;font-weight:800;margin-bottom:6px;"">✔ Correct Answer: Staphylococcus aureus</div><div style=""margin-bottom:8px;""><b>Explanation:</b> Healthcare-associated infections from skin/hand sources are most commonly due to Staphylococcus aureus.</div><div style=""margin-bottom:10px;padding:8px 10px;background:#ecfdf5;border-left:4px solid #16a34a;border-radius:6px;""><b>Clinical Pearl:</b> Skin source → think Staph aureus first.</div><br><div style=""color:#dc2626;margin-bottom:4px;""><b>✘ E. coli:</b></div>GI source organism.<br><br><div style=""color:#dc2626;margin-bottom:4px;""><b>✘ Pseudomonas:</b></div>Hospital organism but not typical hand infection source.<br><br><div style=""color:#dc2626;margin-bottom:4px;""><b>✘ Klebsiella:</b></div>Respiratory/GI source.</div></div></div>"
Microbio-Bacterio-GPC-004,2026,Gynecology - 7 January (E),Microbiology,Bacteriology,Gram‑positive cocci,Toxic shock syndrome presents with:,Fever and hypotension only,"Fever, rash, hypotension, and multiorgan involvement",Rash only,Hypotension only,,B,
Microbio-Bacterio-GPC-005,2026,Radiology - 5 January (M),Microbiology,Bacteriology,Gram‑positive cocci,Group A β-hemolytic Streptococcus mediates tissue damage primarily through:,Endotoxins,Exotoxins,Capsule,Pili,,B,
Microbio-Bacterio-GPC-006,2026,Gynecology - 7 January (E),Microbiology,Bacteriology,Gram‑positive cocci,After an automobile accident splenectomy done. After two months patient presents to Emergency with septic shock and fever. Culture showed clusters of gram-positive bacteria; catalase negative. Causative organism for this overwhelming infection is:,Klebsiella,Mycoplasma,Pseudomonas,Staph Aureus,Strep Pneumonia,E,
Microbio-Bacterio-GPC-007,2026,Medicine - 7 January (M),Microbiology,Bacteriology,Gram‑positive cocci,"A 25 year old woman presents with certain high grade fever, diffused macular rash, hypertension and vomiting. On examination, she has arrhythmia of palms and soles and desquamation after one week. She recently used a super absorbent tampon during her menstrual period. Which organism is most likely responsible for this condition.",Strep pyogenes,Staph aureus,Neisseria,E coli,,B,
Microbio-Bacterio-GPC-008,2026,Medicine - 5 January (E),Microbiology,Bacteriology,Gram‑positive cocci,Which organ experiences the most serious effect of diphtheria?,Tonsils,Larynx,Heart,Kidneys,,C,"<div class=""explanation-container""><div class=""explanation-text""><div style=""color:#16a34a;font-weight:800;margin-bottom:6px;"">✔ Correct Answer: Heart</div><div style=""margin-bottom:8px;""><b>Explanation:</b> The most serious effect of diphtheria is myocarditis due to its exotoxin affecting cardiac muscle.</div><div style=""margin-bottom:10px;padding:8px 10px;background:#ecfdf5;border-left:4px solid #16a34a;border-radius:6px;""><b>Clinical Pearl:</b> Diphtheria toxin can cause fatal arrhythmias.</div><br><div style=""color:#dc2626;margin-bottom:4px;""><b>✘ Tonsils:</b></div>Primary infection site but not most serious systemic effect.<br><br><div style=""color:#dc2626;margin-bottom:4px;""><b>✘ Larynx:</b></div>Can cause obstruction but less lethal than myocarditis.<br><br><div style=""color:#dc2626;margin-bottom:4px;""><b>✘ Kidneys:</b></div>Not primary target of toxin.</div></div></div>"
Microbio-Bacterio-GPC-009,2026,Medicine - 5 January (E),Microbiology,Bacteriology,Gram‑positive cocci,Pathogenicity of Corynebacterium diphtheriae occurs exclusively when the bacteria:,Forms spores,Is encapsulated,Produces exotoxin,Is gram-negative,,C,"<div class=""explanation-container""><div class=""explanation-text""><div style=""color:#16a34a;font-weight:800;margin-bottom:6px;"">✔ Correct Answer: Produces exotoxin</div><div style=""margin-bottom:8px;""><b>Explanation:</b> Corynebacterium diphtheriae becomes pathogenic only when infected by a bacteriophage that enables exotoxin production.</div><div style=""margin-bottom:10px;padding:8px 10px;background:#ecfdf5;border-left:4px solid #16a34a;border-radius:6px;""><b>Clinical Pearl:</b> Diphtheria toxin inhibits protein synthesis via EF-2 inactivation.</div><br><div style=""color:#dc2626;margin-bottom:4px;""><b>✘ Forms spores:</b></div>Not a spore-forming organism.<br><br><div style=""color:#dc2626;margin-bottom:4px;""><b>✘ Is encapsulated:</b></div>Capsule is not main virulence factor.<br><br><div style=""color:#dc2626;margin-bottom:4px;""><b>✘ Is gram-negative:</b></div>It is gram-positive.</div></div></div>"
Microbio-Bacterio-Infec-001,2026,Medicine - 7 January (M),Microbiology,Bacteriology,Infections,A patient develops pain and crepitus 2 days after a thigh injury. The most likely pathogen is:,Staphylococcus aureus,Streptococcus pyogenes,Clostridium perfringens,Pseudomonas aeruginosa,,C,
Microbio-Bacterio-Menin-001,2026,Gynecology - 6 January (M),Microbiology,Bacteriology,Meningitis,A patient presents with meningitis. CSF culture shows a gram-negative oxidase-positive diplococcus. What is the organism?,Hemophilus influenzae,Neisseria meningitidis,Escherichia Coli,Pseudomonas Aeruginosa,Klebsiella Pneumoniae,B,
CM-Biostat-DS-001,2026,Gynecology - 7 January (E),Community Medicine,Biostatistics,Descriptive Statistics,Which graph is best used to represent continuous data such as height?,Pie chart,Bar graph,Histogram,Scatter plot,,C,
CM-Biostat-DS-002,2026,Radiology - 6 January (M),Community Medicine,Biostatistics,Descriptive Statistics,"To find mean in height of 10 people about 33,36,36,38,45,42,40,52,36,47",40,40.5,42,45,43,B,Mean = (33+36+36+38+45+42+52+36+47)/10 = 405/10 = 40.5
CM-Biostat-DS-003,2026,Gynecology - 6 January (M),Community Medicine,Biostatistics,Descriptive Statistics,"To find mean in height of 10 people about 33,36,36,38,45,42,40,52,36,47",40,40.5,42,45,43,B,- Mean = (33+36+36+38+45+42+40+52+36+47) / 10<br>- = 405 / 10 = 40.5
CM-Biostat-DS-004,2026,Surgery - 7 January (E),Community Medicine,Biostatistics,Descriptive Statistics,"In a normal distribution, which statistical measures are equal?",Mean and SD,Median and range,"Mean, median, mode",Mode and variance,Mean and skewness,C,
CM-Biostat-Epidem-001,2026,Gynecology - 7 January (E),Community Medicine,Biostatistics,Epidemiology,"In a community with population of 10,00,000 (one million), there were 100,000 females in child bearing age and 100,000 children were born alive in the year 2000. A total of 50 women died due to pregnancy and related causes. The maternal mortality rate is:",5/1000 females,5/1000 live births,5/10000 population,50/1000 females,50/1000 live births,C,
CM-Biostat-Epidem-002,2026,Gynecology - 6 January (M),Community Medicine,Biostatistics,Epidemiology,In a community with population of 1000000 (1 million) there 100000 females in childbearing age and 100000 children were born live in the year 2000. A total of 50 women died due to pregnancy and related causes. The maternal mortality rate of this community is?,5/1000 live births,50/1000 live births,5//10000 population,50/1000 females,5/1000 females,C,
CM-Biostat-Epidem-003,2026,Gynecology - 5 January (M),Community Medicine,Biostatistics,Epidemiology,What is the relative risk of the drug group compared to placebo?,0.60%,0.80%,0.10%,0.20%,,,
CM-Biostat-Graph-001,2026,Gynecology - 5 January (M),Community Medicine,Biostatistics,Graph,"A postgraduate trainee is preparing a research report and wants to represent continuous numerical data such as height, weight, or blood pressure distribution. Which method of graphical representation will use?",Histogram,Bar char,Segmental bar chart,,,A,Histogram is used for continuous data frequency distribution.
CM-Biostat-IS-001,2026,Surgery - 6 January (E),Community Medicine,Biostatistics,Inferential Statistics,A researcher raises the confidence level from 95% to 99%. What effect does this have on the confidence interval?,Point estimate increases,Confidence interval becomes wider,Confidence interval becomes narrower,No change in confidence interval,,B,
CM-Biostat-Sample-001,2026,Medicine - 6 January (E),Community Medicine,Biostatistics,Sampling Methods,Population was divided according to age into groups and sub groups that randomly people were selected:,Random sampling,Quota sampling,Biased simple sampling,Stratified sampling,,D,
CM-Biostat-study-001,2026,Gynecology - 7 January (E),Community Medicine,Biostatistics,Study Design,"After a wedding, several guests develop food poisoning. Investigators compare those who ate specific menu items versus those who did not to identify the source. What type of study is this?",Case-control study,Cohort study,Cross-sectional study,Randomized controlled trial,,B,"In a cohort study, participants are classified based on exposure status (e.g., food consumed, and followed to determine the outcome (e.g., food poisoning). This is typical in foodborne outbreak investigations."
CM-Biostat-study-002,2026,Surgery - 6 January (E),Community Medicine,Biostatistics,Study Design,"The population was divided into age-based groups and subgroups, and individuals were randomly selected from each group.",Stratified sampling,Convenience sampling,Random sampling,Quota sampling,,A,
CM-Biostat-study-003,2026,Radiology - 6 January (M),Community Medicine,Biostatistics,Study Design,Population was divided according to age into groups and sub groups than randomly people were selected:,Random sampling,Quota sampling,Biased Simple sampling,Stratified sampling,,D,
Ana-CVS-Aorta-001,2026,Surgery - 7 January (E),Anatomy,Cardiovascular System,Aorta,A mass near the sternoclavicular region suspected to be an aortic aneurysm is protected from rupture by:,Elastic lamina,Elastic fibers,Skeletal muscles,Smooth muscles,,A,
Ana-CVS-Aorta-002,2026,Surgery - 6 January (E),Anatomy,Cardiovascular System,Aorta,Bronchial arteries most commonly arise from the descending thoracic aorta.,Femoral artery,Third intercostal artery,Descending aorta,Second posterior intercostal artery,,C,
Ana-CVS-Cardiac Function-001,2026,Gynecology - 6 January (M),Anatomy,Cardiovascular System,Cardiac Function,Referred pain from the heart is carried mainly by which structure?,Visceral pleura,Parietal pleura,Parietal layer of serous pericardium,Phrenic nerve,,D,
Ana-CVS-Coronary Circulation-001,2026,Medicine - 8 January (M),Anatomy,Cardiovascular System,Coronary Circulation,"During coronary angiography, occlusion of a vessel supplying the cardiac pacemaker is noted. In approximately 60% of individuals, this vessel originates from which artery?",Left circumflex artery,Right coronary artery,Left anterior descending artery,Posterior descending artery,,B,
Ana-CVS-Coronary Circulation-002,2026,Medicine - 7 January (M),Anatomy,Cardiovascular System,Coronary Circulation,The major blood supply of the interventricular septum is via the:,Circumflex artery,Anterior interventricular (LAD) artery,Right marginal artery,Poster descending artery,,B,
Ana-CVS-Coronary Circulation-003,2026,Medicine - 8 January (M),Anatomy,Cardiovascular System,Coronary Circulation,Which artery arises from the left aortic sinus and supplies the anterior interventricular septum?,Left coronary artery,Right coronary artery,Circumflex artery,Posterior interventricular artery,,A,
Ana-CVS-Coronary Circulation-004,2026,Medicine - 8 January (M),Anatomy,Cardiovascular System,Coronary Circulation,Which statement correctly describes the origin and a major branch of the left coronary artery?,Arises from the right coronary sinus; gives off the posterior interventricular artery,Arises from the left coronary sinus; gives off the anterior interventricular artery,Arises from the pulmonary trunk; gives off the circumflex artery,Arises from the left coronary sinus; gives off the posterior interventricular artery,,B,
Ana-CVS-Heart-001,2026,Surgery - 7 January (E),Anatomy,Cardiovascular System,Heart,"During cardiac imaging, a stent is placed in the part of the heart containing a muscular band that connects the interventricular septum to the anterior papillary muscle of the right ventricle. What is the name of this structure?",Chordae tendineae,Papillary muscle,Moderator band,Trabeculae carneae,Interventricular septum,C,"The moderator band is a muscular band in the right ventricle. It carries a branch of the right bundle of His, helping in conduction and coordination of RV contraction. Key landmark in right ventricular anatomy; often relevant during procedures like stent placement or cardiac imaging."
Ana-CVS-Heart-002,2026,Gynecology - 7 January (E),Anatomy,Cardiovascular System,Heart,"In approximately 60% of individuals, the sinoatrial (SA) node is supplied by which coronary artery?",Right coronary artery (RCA),Left anterior descending artery (LAD),Left circumflex artery (LCx),Posterior descending artery,Left main coronary artery,A,
Ana-CVS-Heart-003,2026,Radiology - 5 January (M),Anatomy,Cardiovascular System,Heart,Left ventricle and majority of interventricular septum is supplied by:,Right coronary artery,Left circumflex,Left anterior descending (LAD),Posterior descending artery,,C,
Ana-CVS-Heart-004,2026,Radiology - 6 January (M),Anatomy,Cardiovascular System,Heart,A patient develops acute mitral regurgitation after a myocardial infarction. Echocardiography shows rupture of the posterior-medial papillary muscle. Which artery most likely supplied this muscle?,Left anterior descending artery,Left circumflex artery,Right coronary artery,Posterior descending artery,,C,"Posterior-medial papillary muscle is supplied solely by the right coronary artery (RCA). In most individuals. Anterolateral papillary muscle has dual blood supply (LAD + LCx), so it is less prone to rupture. Acute papillary muscle rupture → sudden severe mitral regurgitation, pulmonary edema, cardiogenic shock."
Ana-CVS-Heart-005,2026,Surgery - 6 January (E),Anatomy,Cardiovascular System,Heart,Which cardiac chamber most commonly compresses the esophagus when pathologically enlarged?,Chordae tendineae,Right atrium,Left atrium,Left ventricle,,C,
Ana-CVS-Heart-006,2026,Radiology - 6 January (M),Anatomy,Cardiovascular System,Heart,Which cardiac structure most commonly compresses the esophagus in pathology?,Right atrium,Right ventricle,Left atrium,Left ventricle,,C,
