QuestionID,Year,Exam,Subject,Chapter,Topic,Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation,Hint,
ANA-CVS-010,2026,Medicine - 01/26 - January 8 - Morning,Anatomy,Cardiovascular System,,Where is the facial artery most easily palpable for hemostasis?,At the anterior border of the masseter muscle,At the angle of the mouth,Just lateral to the external nares,At the mental protuberance,,A,,,
ANA-CVS-011,2025,Medicine - 08/25 - August 5 - Evening,Anatomy,Cardiovascular System,,"A young adult with a history of supraventricular tachycardia SVT, is found to have an accessory pathway(AVRT) that connects the atria to the ventricles bypassing the AV node. What is the name of this accessory pathway?",Bundle of His,Bundle of Kent,Purkinje fibers,AV node,Bachmann's bundle,B,,,
ANA-CVS-012,2026,Radiology - 07/26 - July 07 - Morning,Anatomy,Cardiovascular System,,"During surgery, profuse bleeding is noted from the deep cervical artery. Which artery should be ligated?",Thyrocervical trunk,Costocervical trunk,Subclavian artery,Axillary artery,,B,"The deep cervical artery is a branch of the costocervical trunk, which arises from the subclavian artery.",,
ANA-CVS-013,2026,Radiology - 07/26 - July 08 - Morning,Anatomy,Cardiovascular System,,Which vein courses over the deltoid muscle in the deltopectoral groove?,Cephalic vein,Basilic vein,Median cubital vein,Axillary vein,,A,,,
ANA-CVS-014,2026,Medicine - 01/26 - January 5 - Evening,Anatomy,Cardiovascular System,,What is the standard approach for pericardiocentesis?,2nd ics,5th intercostal space mid axillary line,5th Left intercostal space close to sternal angle,Between 5th and 6th intercostal space,,C,,,
ANA-CVS-015,2025,Surgery - 08/25 - August 6 - Evening,Anatomy,Cardiovascular System,,A 50 year old man known to have hepatoma develops dependent edema with dilated abdominal walls veins. The most likely structure involved in this patient is:,IVC,Hepatic artery,Portal vein,Bile duct,Renal vein,A,,,
ANA-CVS-016,2025,Medicine - 08/25 - August 6 - Evening,Anatomy,Cardiovascular System,,A patient sustains a wrist injury affecting the anatomical snuff box. Which major artery is most at risk in this region?,Ulnar artery,Radial artery,Median artery,Brachial artery,Interosseous artery,B,,,
ANA-CVS-017,2026,Medicine - 04/26 - April 8 - Evening,Anatomy,Cardiovascular System,,A patient sustains a deep laceration within the anatomical snuffbox after a fall. Which artery is most likely at risk of injury in this specific location?,Radial Artery,Ulnar Artery,Median Artery,Brachial Artery,,A,,,
ANA-CVS-018,2026,Medicine - 01/26 - January 5 - Evening,Anatomy,Cardiovascular System,,From where are most posterior intercostal arteries derived?,Subclavian artery,Thoracic aorta,Internal thoracic artery,Brachiocephalic artery,,B,,,
ANA-CVS-019,2026,Medicine - 04/26 - April 9 - Night,Anatomy,Cardiovascular System,,At which level does the common carotid artery typically bifurcate into the internal and external carotid arteries?,C1 vertebra,C2 vertebra,C3-C4 intervertebral disc,C5 vertebra,C6 vertebra,C,,,
ANA-CVS-020,2026,Medicine - 04/26 - April 9 - Night,Anatomy,Cardiovascular System,,"A 30 year old man is brought to the emergency department after a road traffic accident. He has a deep laceration in his thigh. On examination, there is continuous dark red, non-pulsatile bleeding that is difficult to notice at first but gradually leads to significant blood loss over time. Which vessel is most likely injured causing the maximum total blood loss if not controlled?",Artery,Vein,Venule,Capillary,Arteriole,B,,,
ANA-CVS-021,2025,Medicine - 08/25 - August 5 - Evening,Anatomy,Cardiovascular System,,"A 60 year old man presents with acute chest pain radiating to the left arm. ECG confirms myocardial infarction. During coronary angiography, which artery is the most common site for emboli causing infarction?",Pulmonary artery,Coronary artery,Femoral artery,Carotid artery,Renal artery,B,,,
ANA-CVS-022,2025,Surgery - 08/25 - August 7 - Morning,Anatomy,Cardiovascular System,,A patient is suffering from Pseudomonas aeruginosa infection with fever. Which of the following cytokine is predominantly responsible for the fever?,IL-1,PG-E,TNF,CD4,,C,,,
ANA-CVS-023,2026,Radiology - 04/26 - April 7 - Morning,Anatomy,Cardiovascular System,,"Which artery arises from the anterior aortic sinus, near the right auricle?",Left coronary artery,Right coronary artery,Pulmonary artery,Circumflex artery,Anterior interventricular artery,B,,,
ANA-CVS-024,2026,Anesthesia - 01/26 - January 5 - Morning,Anatomy,Cardiovascular System,,"For spinal anesthesia in a pregnant lady, the preferred position is left lateral as compared to right lateral position may cause obstruction of:",SVC,Internal jugular vein,IVC,Coeliac vein,,C,,,
ANA-CVS-025,2026,Gynecology - 04/26 - April 8 - Morning,Anatomy,Cardiovascular System,,"During a pelvic surgery, the surgeon identifies the right ovarian vein. Into which vessel does this vein directly drain?",Right Renal Vein,Inferior Vena Cava,Internal Iliac Vein,Common Iliac Vein,,B,,,
ANA-CVS-026,2026,Surgery - 04/26 - April 7 - Night,Anatomy,Cardiovascular System,,Right spermatic vein drain into which of following,IVC,Left Renal Vein,Right Renal Vein,Common Iliac Vein,,A,,,
ANA-CVS-027,2025,Medicine - 08/25 - August 6 - Evening,Anatomy,Cardiovascular System,,A patient with chronic kidney disease undergoes a procedure where the artery accompanying the left anterior descending coronary artery is of concern. Which vein runs alongside the LAD artery?,Small cardiac vein,Great cardiac vein,Middle cardiac vein,Coronary sinus,Anterior cardiac vein,B,,,
ANA-CVS-028,2025,Medicine - 08/25 - August 5 - Morning,Anatomy,Cardiovascular System,,Which of the following veins accompanies the anterior interventricular branch of left coronary artery?,Middle cardiac vein,Great cardiac vein,Small cardiac vein,Coronary sinus,Oblique vein of left ventricle,B,,,
ANA-CVS-029,2026,Medicine - 07/26 - July 7 - Evening,Anatomy,Cardiovascular System,,Which coronary artery primarily supplies the bundle branches of the His-Purkinje system?,Right coronary artery (RCA),Left anterior descending artery (LAD),Circumflex artery,Coronary sinus,,B,,,
ANA-CVS-030,2025,Medicine - 08/25 - August 6 - Evening,Anatomy,Cardiovascular System,,"A patient sustained a splinter injury from a blast, resulting in damage to the pericardium. During surgery, the pericardium was found to be damaged on the inferior side. The surgeon inserted her fingers into the pericardium to locate a piece of shrapnel, moving inferiorly, then upwards and to the right, where her fingers stopped at a cul de sac near the base of the heart, formed by a fold of the pericardium. What is the most likely location of her fingers?`",Coronary sinus,Coronary Sulcus,Oblique sinus,Costodiaphragmatic recess,Costomediastinal recess,C,,,
ANA-CVS-031,2025,Surgery - 08/25 - August 6 - Evening,Anatomy,Cardiovascular System,,"A patient sustained a splinter injury from a blast, resulting in damage to the pericardium. During surgery, the pericardium was found to be damaged on the inferior side. The surgeon inserted her fingers into the pericardium to locate a piece of shrapnel, moving inferiorly, then upwards and to the right, where her fingers stopped at a cul-de-sac near the base of the heart, formed by a fold of the pericardium. What is the most likely location of her fingers?",Coronary sulcus,Coronary sinus,Oblique sinus,Costodiaphragmatic recess,Costomediastinal recess,C,,,
ANA-CVS-032,2026,"Medicine - 07/26 - July 9 - Afternoon, Surgery - 07/26 - July 09 - Afternoon",Anatomy,Cardiovascular System,,"A patient presents with trauma to the mid-calf. On examination, the skin over the dorsum of the footappears normal, but the sole of the foot is pale. Which artery is most likely at risk as it trace down into foot",Posterior Tibial Artery,Popliteal Artery,Femoral artery,Dorsalis pedis artery,,A,,,
ANA-CVS-033,2026,Anesthesia - 01/26 - January 5 - Morning,Anatomy,Cardiovascular System,,A 30 year old man presents with sharp pleuritic chest pain that worsens on inspiration and when lying supine and is relieved by sitting forward. A pericardial friction rub is heard. Chest pain in this condition is due to inflammation of which pericardial layer?,Fibrous pericardium,Parietal layer of serous pericardium,Myocardium,Endocardium,Subendocardial layer,B,,,
ANA-CVS-034,2026,Gynecology - 04/26 - April 8 - Morning,Anatomy,Cardiovascular System,,"During cardiac surgery, the surgeon incises the outermost fibrous layer of the sac surrounding the heart. This layer is the",Myocardium,Visceral pericardium,Parietal pericardium,Endocardium,,C,,,
ANA-CVS-035,2026,Radiology - 01/26 - January 5 - Morning,Anatomy,Cardiovascular System,,"A 45 year old male presents with severe, sharp, retrosternal chest pain that worsens on inspiration and lying down, and is relieved by leaning forward. On auscultation, a friction rub is heard. Which structure is primarily involved?",Fibrous pericardium,Parietal pericardium,Myocardium,Epicardium,,B,,,
ANA-CVS-036,2026,Medicine - 07/26 - July 7 - Evening,Anatomy,Cardiovascular System,,A patient undergoes left orchidectomy. The left testicular vein drains directly into which vessel?,Inferior vena cava,Left renal vein,Left common iliac vein,External iliac vein,,B,,,
ANA-CVS-037,2026,Medicine - 01/26 - January 8 - Morning,Anatomy,Cardiovascular System,,A patient presents with swelling lateral to the femoral artery. Which structure will you encounter first under the skin?,Aponeurosis of external oblique,Aponeurosis of internal oblique,Fascia transversalis,Fascia iliaca,,A,,,
ANA-CVS-038,2025,Medicine - 08/25 - August 6 - Morning,Anatomy,Cardiovascular System,,"A 55 year old diabetic patient presents with pain and numbness on the sole of the foot and weakness in toe flexion. On examination, the dorsalis pedis pulse is palpable, but the posterior tibial pulse is absent. Which artery is most likely compromised?",posterior tibial artery,anterior tibial artery,Popliteal artery,Femoral artery,Femoral artery,A,,,
ANA-CVS-039,2026,Surgery - 01/26 - January 6 - Evening,Anatomy,Cardiovascular System,,Which of the following structures is located in the posterior mediastinum?,Thymus,Descending thoracic aorta,Heart,Femur,,B,,,
ANA-CVS-040,2026,Radiology - 04/26 - April 7 - Morning,Anatomy,Cardiovascular System,,Which of the following is an unpaired artery of the abdominal aorta?,Inferior phrenic artery,Celiac artery,Renal artery,Gonadal artery,,B,,,
ANA-CVS-041,2026,Surgery - 07/26 - July 09 - Afternoon,Anatomy,Cardiovascular System,,Adductor canal pus compression causes damage to which structure:,Femoral vein,Saphenous nerve,Superficial femoral artery,Great Sephnous vein,,A,,,
ANA-CVS-042,2025,Surgery - 08/25 - August 6 - Evening,Anatomy,Cardiovascular System,,A patient who has history of trauma which results in fracture of foramen spinosum the artery runs over the mentioned site give main supply to which of the following structure?,Arachnoid matter,Skull vault,Brain parenchyma,Hearing area,,B,,,
ANA-CVS-043,2026,Medicine - 04/26 - April 9 - Night,Anatomy,Cardiovascular System,,"A 67 year old man presents with recurrent episodes of dizziness and transient right-sided weakness lasting a few minutes. On examination, a bruit is heard at the upper border of the thyroid cartilage. Imaging shows atherosclerotic narrowing at the point where the common carotid artery divides. Which of the following structures is located at the site of this bifurcation?",Carotid sinus and carotid body,Jugular vein and vagus nerve,Thyroid gland and trachea,Hypoglossal nerve only,Sympathetic chain ganglia,A,,,
ANA-CVS-044,2026,Radiology - 04/26 - April 8 - Evening,Anatomy,Cardiovascular System,,"During a coronary artery bypass graft (CABG) the internal thoracic (mammary) artery is harvested. Despite this, the rectus abdominis muscle remains viable due to collateral circulation. Which of the following arteries is the main alternative blood supply to the rectus abdominis muscle?",Superficial circumflex iliac artery,Superficial epigastric artery,Deep Circumflex Iliac artery,Inferior epigastric artery,Lumbar arteries,D,,,
ANA-CVS-045,2025,Surgery - 08/25 - August 6 - Evening,Anatomy,Cardiovascular System,,"A 42 year old woman underwent breast reconstruction surgery after mastectomy for breast cancer, the surgeon’s plans to use a flap harvested from supraclavicular region of lower abdomen, which of the following artery primarily supplies the blood to this flap and must be preserved or reconstructed to ensure flap viability?",Inferior mesenteric artery,Internal thoracic artery,Superior epigastric artery,Inferior epigastric artery,Supraclavicular,D,,,
ANA-CVS-046,2026,Gynecology - 07/26 - July 08 - Evening,Anatomy,Cardiovascular System,,The uterine artery is a branch of the:,External iliac artery,Internal iliac artery,Ovarian artery,Inferior mesenteric artery,,B,,,
ANA-CVS-047,2026,Surgery - 01/26 - January 6 - Evening,Anatomy,Cardiovascular System,,A stab wound is located just below the xiphoid process at the level of the sixth intercostal space. Which structure is most likely injured?,Portal vein,Abdominal aorta,Femoral artery,Inferior vena cava,,D,,,
ANA-CVS-048,2026,Surgery - 04/26 - April 8 - Morning,Anatomy,Cardiovascular System,,Inferior rectal vein drains into which vein?,Internal iliac vein,Superior mesenteric,Inferior mesenteric vein,Internal pudendal vein,Common iliac vein,D,,,
ANA-CVS-049,2026,Surgery - 04/26 - April 8 - Morning,Anatomy,Cardiovascular System,,Which structure is found in the posterior mediastinum?,Descending aorta,Thymus,Parasternal lymph nodes,Internal thoracic arteries,,A,,,
ANA-CVS-050,2026,Medicine - 01/26 - January 7 - Morning,Anatomy,Cardiovascular System,,"A 63 year old man came to emergency with complaints of back pain, weakness and shortness of breath. On examination he has an aneurysm of the abdominal aorta at aortic hiatus of diaphragm. Which of the following would most likely be compressed?",Vagus nerve,Esophagus,Azygos vein,IVC,Phrenic nerve,C,,,
ANA-CVS-051,2026,Medicine - 04/26 - April 9 - Night,Anatomy,Cardiovascular System,,At which vertebral level does the abdominal aorta begin (after passing through the diaphragm)?,T10,T11,T12,L1,L2,C,,,
ANA-CVS-052,2025,Medicine - 08/25 - August 5 - Evening,Anatomy,Cardiovascular System,,A trauma patient is undergoing imaging after a high-impact motor vehicle accident. The radiologist notes that the descending thoracic aorta is injured at a vertebral level corresponding to the diaphragmatic hiatus. At which vertebral level is this injury most likely located?,T10,T12,L3,L1,T8,B,,,
ANA-CVS-053,2026,Radiology - 07/26 - July 08 - Morning,Anatomy,Cardiovascular System,,Clavipectoral fascia pierced by:,Cephalic vein,Thyrocervical trunk,Medial thoracic artery,Lateral pectoral nerve,,A,,,
ANA-CVS-054,2026,Radiology - 04/26 - April 8 - Evening,Anatomy,Cardiovascular System,,The internal thoracic artery also known as internal mammary artery typically arises from which of the following?,Subclavian artery,Thoracoacromial artery,Axillary artery,Lateral thoracic artery,Superior intercostal artery,A,,,
ANA-CVS-055,2026,Radiology - 01/26 - January 5 - Morning,Anatomy,Cardiovascular System,,Site of pericardiocentesis:,3rd ICS mid-axillary,4–5th ICS left mid-axillary,6th ICS parasternal,"Lateral to sternum, angled upward",,B,,,
ANA-CVS-056,2026,Medicine - 07/26 - July 7 - Evening,Anatomy,Cardiovascular System,,A patient sustains a left-sided chest injury after a road traffic accident (RTA). He develops pericardial effusion secondary to pericarditis and requires pericardiocentesis. Which of the following is the preferred site for needle insertion to relieve his symptoms?,Left 5th intercostal space near the sternum,Left 4th intercostal space near the sternum,Right 5th intercostal space near the sternum,Left 5th intercostal space in the midclavicular line,,A,,,
ANA-CVS-057,2026,Medicine - 04/26 - April 7 - Morning,Anatomy,Cardiovascular System,,A patient presents with a stab wound in the left 6th intercostal space near the midclavicular line. Which cardiac chamber is most likely injured?,Right atrium,Left ventricle,Right ventricle,Left atrium,,B,,,
ANA-CVS-058,2026,Medicine - 07/26 - July 10 - Morning,Anatomy,Cardiovascular System,,The hemiazygos vein normally drains into which venous structure?,Superior vena cava,Inferior vena cava,Azygos vein,Left brachiocephalic vein,,C,,,
ANA-CVS-059,2026,Surgery - 07/26 - July 08 - Afternoon,Anatomy,Cardiovascular System,,A Stab wound at left 5th ICS 4cm deep just lateral to sternum structure damage will be:,Hilum of Left lung,Left pleura,Pericardium,Left bronchus,IVC,C,,,
ANA-CVS-060,2026,Anesthesia - 01/26 - January 5 - Morning,Anatomy,Cardiovascular System,,Inferior wall myocardial infarction — vessel involved is,Right Coronary Artery,Left interventricular artery,Marginal artery,Left circumflex artery,,A,,,
ANA-CVS-061,2026,Gynecology - 04/26 - April 8 - Morning,Anatomy,Cardiovascular System,,"During a pelvic surgery, the surgeon identifies branches of the internal iliac artery. Which of the following is a direct branch of the internal iliac artery?",Superior rectal artery,Middle rectal artery,Inferior rectal artery,Left colic artery,,B,,,
ANA-CVS-062,2026,Medicine - 04/26 - April 9 - Night,Anatomy,Cardiovascular System,,"A 58 year old man presents with severe chest pain radiating to the left arm. ECG shows ST elevation in leads II, III, and aVF. Which coronary artery is most likely occluded?",Left anterior descending (LAD) artery,Right coronary artery (RCA),Left circumflex artery,Left main coronary artery,Posterior descending artery only,B,,,
ANA-CVS-063,2026,Medicine - 04/26 - April 9 - Morning,Anatomy,Cardiovascular System,,"A patient with acute chest pain undergoes ECG. ST-segment elevation is seen in leads II, III, and aVF. Which of the following coronary arteries is most likely occluded?",Left anterior descending artery (LAD),Left circumflex artery (LCX),Right coronary artery (RCA),Left main coronary artery,,C,,,
ANA-CVS-064,2026,Surgery - 04/26 - April 8 - Morning,Anatomy,Cardiovascular System,,A patient is diagnosed with a myocardial infarction involving the conduction system. Which artery is primarily responsible for supplying the anterior two-thirds of the interventricular septum?,Left Anterior Descending (LAD) artery,Left Circumflex (LCX) artery,Right Coronary Artery (RCA),Left Main Coronary Artery (LCA),,A,,,
ANA-CVS-065,2026,Anesthesia - 01/26 - January 5 - Morning,Anatomy,Cardiovascular System,,A patient has a stab wound at the right 4th to 6th intercostal space adjacent to the sternum. Which structure is most likely pierced?,Purkinje fibers,Right ventricle,Left atrium,Left ventricle,Auricle,B,,,
ANA-CVS-066,2026,Medicine - 04/26 - April 8 - Night,Anatomy,Cardiovascular System,,A patient presents with a stab wound in the left 5th intercostal space close to the sternum. Which cardiac structure is most likely injured?,Right atrium,Right ventricle,Left atrium,Left ventricle,Interventricular septum,B,,,
ANA-CVS-067,2025,Medicine - 08/25 - August 6 - Morning,Anatomy,Cardiovascular System,,"During cardiac surgery, a catheter is inserted into the coronary sinus for retrograde cardioplegia. Into which cardiac chamber does the coronary sinus drain?",Right atrium,Left atrium,Right ventricle,Left ventricle,Pulmonary artery,A,,,
ANA-CVS-068,2026,Medicine - 04/26 - April 8 - Night,Anatomy,Cardiovascular System,,A cardiology procedure involves placing a pacemaker lead through the coronary sinus. Into which cardiac chamber will the lead most likely pass?,Right atrium,Right ventricle,Inferior vena cava,Left ventricle,,B,,,
ANA-CVS-069,2026,Surgery - 01/26 - January 6 - Evening,Anatomy,Cardiovascular System,,Which cardiac chamber most commonly compresses the esophagus when pathologically enlarged?,Chordae tendineae,Right atrium,Left atrium,Left ventricle,,C,,,
ANA-CVS-070,2026,Medicine - 01/26 - January 6 - Evening,Anatomy,Cardiovascular System,,Which cardiac structure commonly compresses esophagus in pathology?,Right atrium,Right ventricle,Left atrium,Left ventricle,,C,,,
ANA-CVS-071,2026,Radiology - 01/26 - January 6 - Morning,Anatomy,Cardiovascular System,,Which cardiac structure most commonly compresses the esophagus in pathology?,Right atrium,Right ventricle,Left atrium,Left ventricle,,C,,,
ANA-CVS-072,2026,Surgery - 01/26 - January 7 - Evening,Anatomy,Cardiovascular System,,A Patient presented with epistaxis and Bleeding from lateral wall of nose artery involved is:,Posterior ethmoidal artery,Sphenopalatine artery,Inferior labial artery,Lesser palatine artery,Anterior Ethmoidal artery,B,,,
ANA-CVS-073,2025,Surgery - 08/25 - August 7 - Morning,Anatomy,Cardiovascular System,,Injury to mandibular nerve at foramen ovale will lead to:,Loss of sensation of at lower face,Loss of sensation at upper face,Loss of sensation of forehead,Loss of bitter taste,Loss of bitter taste,A,,,
ANA-CVS-074,2026,Medicine - 04/26 - April 7 - Morning,Anatomy,Cardiovascular System,,Which coronary artery runs in the anterior interventricular groove and supplies the anterior wall of the left ventricle?,Circumflex artery,Right coronary artery,Left anterior descending (LAD) artery,Marginal artery,,C,,,
ANA-CVS-075,2025,Medicine - 08/25 - August 5 - Morning,Anatomy,Cardiovascular System,,"A child was undergoing tonsillectomy, during procedure, surgeon noticed bleeding from left tonsillar artery. Left tonsillar artery is a branch of?",Facial artery,Lingual artery,Ascending pharyngeal artery,Maxillary artery,Superior thyroid artery,A,,,
ANA-CVS-076,2026,Radiology - 04/26 - April 8 - Evening,Anatomy,Cardiovascular System,,Which of the following structures is located in the floor of the anatomical snuffbox and is most at risk of injury in a deep laceration to this area?,Ulnar artery,Radial artery,Cephalic vein,Median nerve,Radial nerve,B,,,
ANA-CVS-077,2026,Radiology - 04/26 - April 7 - Morning,Anatomy,Cardiovascular System,,Pericardiocentesis location for strawcolored fluid is which of following?,"5th/6th intercostal space, left parasternal",Left parasternal 3rd intercostal space,Midclavicular line,Midaxial line,Right parasternal 2nd Intercostal space,A,,,
ANA-CVS-078,2026,Surgery - 04/26 - April 7 - Night,Anatomy,Cardiovascular System,,In defective conductive tissue damage of heart an artificial pacemaker is to be placed in,Sa node,Av node,Left Atrium,Moderator band,,D,,,
ANA-CVS-079,2026,Radiology - 04/26 - April 8 - Evening,Anatomy,Cardiovascular System,,"During an abdominal surgery, the Superior Epigastric artery (a terminal branch of the Internal Thoracic artery) is ligateD. Despite this, the rectus abdominus muscle remains viable due to collateral circulation. Which artery provides the primary collateral blood supply to this muscle?",Inferior Epigastric artery,Superficial Circumflex Iliac artery,Deep Circumflex Iliac artery,Musculophrenic artery,Subcostal artery,A,,,
ANA-CVS-080,2026,Gynecology - 07/26 - July 08 - Morning,Anatomy,Cardiovascular System,,"A 30 year old man presents with sharp central chest pain that is relieved by sitting forward and worsened on inspiration. On examination, a pericardial friction rub is heard. Which layer is primarily responsible for the pain experienced in acute pericarditis?",Visceral layer of serous pericardium (epicardium),Fibrous pericardium,Parietal layer of serous pericardium,Myocardium,,C,"Nerve Supply: The outer fibrous pericardium and the parietal layer of the serous pericardium are heavily innervated by somatic pain fibers traveling through the phrenic nerve. Clinical Effect: Inflammation of this specific parietal sheet generates the localized, sharp, pleuritic chest pain that characteristically worsens with inspiration or lying flat. The inner visceral layer (epicardium) is supplied by autonomic nerves and is completely insensitive to pain.",,
ANA-CVS-081,2025,Surgery - 08/25 - August 7 - Morning,Anatomy,Cardiovascular System,,"A 7 year old girl presented with a 3 weeks H/O of horizontal diplopia on far right lateral gaze, this is most probably due to damage to which nerve:",Optic nerve,Oculomotor nerve,Trochlear nerve,Nasociliary nerve,,C,,,
ANA-CVS-082,2026,Radiology - 01/26 - January 6 - Morning,Anatomy,Cardiovascular System,,Signs of pericarditis such as sharp chest pain relieved by sitting forward were given. The question was asked: which layer is pain sensitive?,Myocardium,Endocardium,Fibrous pericardium,Parietal pericardium,Visceral pericardium,D,,,
ANA-CVS-083,2026,"Gynecology - 07/26 - July 08 - Morning, Radiology - 07/26 - July 08 - Morning",Anatomy,Cardiovascular System,,A 30 year old man presents with sharp pleuritic chest pain that improves on sitting forward. A pericardial friction rub is heard on auscultation. Pain in acute pericarditis is carried by which structure?,Visceral pericardium,Myocardium,Fibrous pericardium,Parietal pericardium,,D,"Pain fibers in acute pericarditis travel along the phrenic nerve, which primarily innervates the sensitive, fibrous parietal pericardium. The visceral pericardium and myocardium lack somatic pain fibers.",,
ANA-CVS-084,2026,Gynecology - 07/26 - July 08 - Evening,Anatomy,Cardiovascular System,,A stab wound at the left sternal border in the 5th intercostal space penetrates 4 cm. Which structure is most likely injured?,Lung,Pleura,Trachea,Pericardium,,D,The anterior surface of the heart and its protective fibrous sac (pericardium) lie directly beneath the left parasternal 4th to 5th intercostal spaces.,,
ANA-CVS-085,2026,Gynecology - 01/26 - January 6 - Morning,Anatomy,Cardiovascular System,,Referred pain from the heart is carried mainly by which structure?,Visceral pleura,Parietal pleura,Parietal layer of serous pericardium,Phrenic nerve,,D,,,
ANA-CVS-086,2026,Medicine - 01/26 - January 5 - Evening,Anatomy,Cardiovascular System,,"If a nail punctures the space between the 1st and 2nd metatarsals, which artery is injured?",Posterior tibial,Peroneal,Dorsalis pedis,Plantar arch,,C,,,
ANA-CVS-087,2025,Medicine - 08/25 - August 4 - Evening,Anatomy,Cardiovascular System,,"A patient presents with severe pain, pallor, paresthesia, and pulselessness of the right leg following thromboembolism. Which of the following arteries is most likely occluded if the embolus lodged in the popliteal fossa?",Anterior tibial artery,Posterior tibial artery,Common femoral artery,Popliteal artery,Dorsalis pedis artery,D,,,
ANA-CVS-088,2026,Surgery - 07/26 - July 09 - Afternoon,Anatomy,Cardiovascular System,,Puss in adductor canal. Which structure will be compressed,Great Saphenous vein,Femoral vein,Femoral nerve,Popliteal artery,,B,,,
ANA-CVS-089,2026,Medicine - 01/26 - January 7 - Morning,Anatomy,Cardiovascular System,,The major blood supply of the interventricular septum is via the:,Circumflex artery,Anterior interventricular (LAD) artery,Right marginal artery,Poster descending artery,,B,,,
