QuestionID,Chapter,Topic,Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation
BRS-P-011,ANATOMY,,Which cranial nerves pass through the jugular foramen?,"CN IX, X, and XI",,,,,A,
BRS-P-012,ANATOMY,,Loss of taste sensation from the anterior two-thirds of the tongue indicates injury to which nerve?,Chorda tympani (Facial nerve),,,,,A,
BRS-P-013,ANATOMY,,A patient with a suppurative ear infection develops facial palsy with no ataxia or ocular involvement. Where is the lesion?,Facial canal (middle ear),,,,,A,
BRS-P-014,ANATOMY,,"In Ramsay Hunt syndrome, where is the primary lesion of the facial nerve located?",Geniculate ganglion,,,,,A,
BRS-P-015,ANATOMY,,What gait is observed in superior gluteal nerve injury?,Trendelenburg gait,,,,,A,
BRS-P-016,ANATOMY,,Where is the posterior root ganglion located?,Intervertebral foramen,,,,,A,
BRS-P-017,ANATOMY,,Baker's cyst is a distension of the bursa between which two muscles?,Semimembranosus and medial head of gastrocnemius,,,,,A,
BRS-P-018,ANATOMY,,Vibration and conscious proprioception are carried by which pathway?,Spinothalamic tract,Lateral corticospinal tract,Dorsal column–medial lemniscus pathway,Spinocerebellar tract,,C,
BRS-P-019,ANATOMY,,Taste sensation from the anterior two-thirds of the tongue is carried by:,Lingual nerve,Glossopharyngeal nerve,Chorda tympani (Facial nerve),Hypoglossal nerve,,C,
BRS-P-020,ANATOMY,,Which nerve passes through the foramen ovale?,Optic nerve,Trochlear nerve,Mandibular nerve (V3),Facial nerve,,C,
BRS-P-021,ANATOMY,,Posterior dislocation of the hip most commonly injures the:,Femoral nerve,Obturator nerve,Sciatic nerve,Pudendal nerve,,C,
BRS-P-022,ANATOMY,,"A patient cannot stand on tip-toe, has loss of plantar flexion, inversion, and sensation over the sole. Which nerve is injured?",Tibial nerve,Common peroneal nerve,Deep peroneal nerve,Superficial peroneal nerve,,A,
BRS-P-023,ANATOMY,,Loss of erection following prostate surgery is most likely due to injury of the:,Pudendal nerve,Pelvic splanchnic nerves (cavernous nerves),Sacral splanchnic nerves,Ilioinguinal nerve,,B,
BRS-P-024,ANATOMY,,Vertical diplopia is classically associated with palsy of:,Oculomotor nerve (CN III),Trochlear nerve (CN IV),Abducens nerve (CN VI),Facial nerve (CN VII),,B,
BRS-P-025,ANATOMY,,Penile erection is primarily mediated by:,Sympathetic fibers (T11–L2),Pelvic splanchnic nerves (S2–S4),Pudendal nerve only,Genitofemoral nerve,,B,
BRS-P-026,ANATOMY,,Axillary lymph nodes are divided into how many anatomical levels?,Two,Three,Four,Five,,B,
BRS-P-027,ANATOMY,,Which structure passes through the jugular foramen?,CN VII & VIII,"CN IX, X & XI",CN XII,CN V3,,B,
BRS-P-028,ANATOMY,,Which artery runs along the superior border of the pancreas posterior to the stomach?,Left gastric artery,Splenic artery,Right gastric artery,Gastroduodenal artery,,B,
BRS-P-029,ANATOMY,,The vessel most commonly injured in a supracondylar fracture of the humerus is:,Radial artery,Ulnar artery,Brachial artery,Axillary artery,,C,
BRS-P-030,ANATOMY,,The vein most commonly used for venepuncture in the cubital fossa is:,Basilic vein,Cephalic vein,Median cubital vein,Median antebrachial vein,,C,
BRS-P-031,ANATOMY,,Which nerve passes through the foramen ovale?,Mandibular nerve (V3),,,,,A,
BRS-P-032,ANATOMY,,Which cranial nerves pass through the jugular foramen?,"CN IX, X, XI",,,,,A,
BRS-P-033,ANATOMY,,Loss of taste on the anterior 2/3 of the tongue is due to damage to which nerve?,Chorda tympani (CN VII),,,,,A,
BRS-P-034,ANATOMY,,Where is the posterior root ganglion located?,Intervertebral foramen,,,,,A,
BRS-P-035,ANATOMY,,A Baker cyst is located between which structures?,Semimembranosus and medial head of gastrocnemius,,,,,A,
BRS-P-036,ANATOMY,,Which nerve supplies the sensory innervation to the dorsum of the nose?,External nasal branch of anterior ethmoidal nerve,,,,,A,
BRS-P-037,ANATOMY,,Which nerve forms the afferent limb of the gag reflex?,Glossopharyngeal nerve (CN IX),,,,,A,
BRS-P-038,ANATOMY,,Which muscle actively opens the Eustachian tube during swallowing?,Tensor veli palatini,,,,,A,
BRS-P-039,ANATOMY,,What are the contents of the internal acoustic meatus?,"CN VII, CN VIII, and labyrinthine artery",,,,,A,
BRS-P-040,ANATOMY,,What are the vertical boundaries of the parapharyngeal space?,Base of skull to hyoid bone,,,,,A,
BRS-P-041,ANATOMY,,Which nerve is at highest risk of injury during posterior triangle neck surgery?,Accessory nerve (CN XI),,,,,A,
BRS-P-042,ANATOMY,,Superior to spermatic cord?,External oblique,Internal oblique,Transversus,Fascia transversalis,,B,
BRS-P-043,ANATOMY,,Most superficial structure to parotid gland during surgery?,Facial nerve,Parotid fascia + Skin,Stenson duct,Retromandibular vein,,B,
BRS-P-044,ANATOMY,,Hoarseness. Nerve involved?,Vagus,Recurrent laryngeal nerve,Superior laryngeal,Hypoglossal,,B,
BRS-P-045,ANATOMY,,"Loss of thumb + index finger function, sensation intact?",Ulnar,Anterior interosseous branch of Median,Radial,Lower brachial plexus,,B,
BRS-P-046,ANATOMY,,Lateral side of thigh. Nerve?,Femoral,Lateral femoral cutaneous nerve,Sciatic,Obturator,,B,
BRS-P-047,ANATOMY,,Medial side of hand + forearm. Dermatome?,C6,C7,"C8, T1",T2,,C,
BRS-P-048,ANATOMY,,Thumb opposition + abduction. Nerve?,Ulnar,Median nerve,Radial,Musculocutaneous,,B,
BRS-P-049,ANATOMY,,Popliteal fossa damage. Nerve affected?,Femoral,Tibial + Common peroneal,Sciatic trunk,Obturator,,B,
BRS-P-050,ANATOMY,,Nerve supply of dorsum of nose:,Facial nerve,Trigeminal nerve (CN V1 & V2),Glossopharyngeal nerve,Vagus nerve,,B,
BRS-P-051,ANATOMY,,Lateral nasal wall/valve sensory supply is mainly by:,Facial nerve,Trigeminal nerve,Vagus nerve,Glossopharyngeal nerve,,B,
BRS-P-052,ANATOMY,,Efferent limb of gag reflex is carried by:,Trigeminal nerve,Facial nerve,Vagus nerve,Glossopharyngeal nerve,,C,
BRS-P-053,ANATOMY,,Tensor tympani muscle is supplied by:,Facial nerve,Mandibular nerve (CN V3),Glossopharyngeal nerve,Vagus nerve,,B,
BRS-P-054,ANATOMY,,Stapedius muscle is supplied by:,Trigeminal nerve,Facial nerve,Vagus nerve,Accessory nerve,,B,
BRS-P-055,ANATOMY,,General sensation of anterior two-thirds of tongue is carried by:,Glossopharyngeal nerve,Chorda tympani,Lingual nerve,Vagus nerve,,C,
BRS-P-056,ANATOMY,,Taste sensation of anterior two-thirds of tongue is carried by:,Facial nerve via chorda tympani,Glossopharyngeal nerve,Vagus nerve,Hypoglossal nerve,,A,
BRS-P-057,ANATOMY,,Posterior one-third of tongue sensation is supplied by:,Facial nerve,Trigeminal nerve,Glossopharyngeal nerve,Hypoglossal nerve,,C,
BRS-P-058,ANATOMY,,Fracture of cribriform plate causes loss of:,Vision,Hearing,Smell,Taste,,C,
BRS-P-059,ANATOMY,,Olfactory nerve passes through:,Foramen ovale,Jugular foramen,Cribriform plate,Optic canal,,C,
BRS-P-060,ANATOMY,,Which muscle passes between the superior and middle pharyngeal constrictors?,Stylopharyngeus,,,,,A,
BRS-P-061,ANATOMY,,Which artery supplies the anterolateral aspect of the nose?,Anterior ethmoidal artery,,,,,A,
BRS-P-062,ANATOMY,,Which laryngeal muscle is responsible for producing high-pitched sounds by tensing the vocal cords?,Cricothyroid muscle,,,,,A,
BRS-P-063,ANATOMY,,The esophagus begins at the level of the lower border of which cartilage?,Cricoid cartilage (C6 level),,,,,A,
BRS-P-064,ANATOMY,,At what vertebral level is the cricoid cartilage located in an infant?,C4,,,,,A,
BRS-P-065,ANATOMY,,The promontory of the middle ear is formed by the:,Basal turn of the cochlea,,,,,A,
BRS-P-066,ANATOMY,,What is the narrowest part of the adult larynx?,Rima glottidis (vocal cords),,,,,A,
BRS-P-067,ANATOMY,,Which muscles form the floor of the posterior triangle of the neck?,"Splenius capitis, levator scapulae, and scalenes",,,,,A,
BRS-P-068,ANATOMY,,Secretomotor innervation to the salivary glands is provided by which cranial nerves?,CN VII (submandibular/sublingual) and CN IX (parotid),,,,,A,
BRS-P-069,ANATOMY,,Which artery passes behind the external carotid artery (ECA) and beneath the parotid gland?,Ascending pharyngeal artery,Facial artery,Ascending palatine artery,,,A,
BRS-P-070,ANATOMY,,"Injury to the long thoracic nerve results in paralysis of the serratus anterior, clinically presenting as:",Winged scapula,,,,,A,
BRS-P-071,ANESTHESIA,,Spinal anesthesia is given into which space?,Epidural space,Subarachnoid space,Subdural space,Intramuscular space,,B,
BRS-P-072,ANESTHESIA,,What is the approximate blood-gas partition coefficient of Isoflurane?,1.4,,,,,A,
BRS-P-073,ANESTHESIA,,"When pulse oximeter signal quality is poor (high noise-to-signal ratio), it commonly displays:",85%,95%,100%,75%,,A,
BRS-P-074,ANESTHESIA,,"A patient develops sudden shock immediately after induction of anesthesia, before surgery begins. The most likely type of shock is:",Hypovolemic shock,Septic shock,Anaphylactic shock,Neurogenic shock,,C,
BRS-P-075,ANESTHESIA,,Blood-gas partition coefficient of Isoflurane is approximately:,1.4,1.15,2,0.65,,A,
BRS-P-076,ANESTHESIA,,Blood-gas partition coefficient of Sevoflurane is approximately:,1.2,1.4,0.65,2,,C,
BRS-P-077,ANESTHESIA,,Aspiration prophylaxis before elective LSCS includes:,Sodium citrate,PPI,Magnesium hydroxide,,,A,
BRS-P-078,ANESTHESIA,,The main advantage of a Venturi mask is:,Delivers humidified oxygen,Delivers a precise fixed FiO2,Gives the highest oxygen concentration,Provides positive pressure ventilation,,B,
BRS-P-079,ANESTHESIA,,Which property is characteristic of nitrous oxide (N2O)?,Potent muscle relaxant,High blood-gas solubility,Strong analgesic effect with weak anesthetic potency,Causes malignant hyperthermia commonly,,C,
BRS-P-080,ANESTHESIA,,"Which anesthetic has the lowest blood-gas partition coefficient, resulting in the fastest induction and recovery?",Isoflurane,Halothane,Sevoflurane,Desflurane,,D,
BRS-P-081,ANESTHESIA,,What is the safest intubation method for a trauma (RTA) patient with suspected cervical spine injury?,Awake fiberoptic intubation,,,,,A,
BRS-P-082,ANESTHESIA,,What intervention should prevent aspiration in a comatose patient (GCS 7)?,Cuffed endotracheal intubation,,,,,A,
BRS-P-083,BIOCHEMISTRY,,Which of the following is a non-essential amino acid?,Lysine,Alanine,Leucine,Tryptophan,,B,
BRS-P-084,BIOCHEMISTRY,,"A 20-year-old male develops severe muscle cramps, myalgia and dark cola-colored urine after intense exercise. Lactate does not rise during ischemic forearm test. Most likely enzyme deficiency is:",Myophosphorylase,Phosphofructokinase,Debranching enzyme,Acid maltase,,B,
BRS-P-085,BIOCHEMISTRY,,Which vitamin deficiency causes neurological symptoms similar to B12 deficiency but WITHOUT anemia?,Vitamin B1,Vitamin B6 / Pyridoxine,Vitamin B2,Vitamin B3,,B,
BRS-P-086,BIOCHEMISTRY,,Orotic aciduria results from a defect in which metabolic pathway?,Pyrimidine synthesis,,,,,A,
BRS-P-087,BIOCHEMISTRY,,"Patient presents with muscle pain, red urine, and raised CK after strength exercise. Which enzyme is involved?",Muscle glycogen phosphorylase,Pyruvate kinase,Lactate dehydrogenase,,,A,
BRS-P-088,BIOCHEMISTRY,,Which of the following is a non-essential amino acid?,Alanine,,,,,A,
BRS-P-089,BIOCHEMISTRY,,Muscle cramps post-exercise with dark colored urine indicates which enzyme deficiency?,Phosphofructokinase (Tarui disease),,,,,A,
BRS-P-090,BIOCHEMISTRY,,Which vitamin deficiency produces neurological manifestations similar to vitamin B12 deficiency but without megaloblastic anemia?,Vitamin B1,Vitamin B6,Vitamin E,Vitamin D,,C,
BRS-P-091,BIOCHEMISTRY,,A child has megaloblastic anemia with increased urinary orotic acid. The underlying defect is:,Heme synthesis defect,Homocysteine metabolism defect,Hereditary orotic aciduria (UMP synthase deficiency),Purine synthesis defect,,C,
BRS-P-092,BIOCHEMISTRY,,Which pathway is affected in hereditary orotic aciduria?,Purine synthesis,Pyrimidine synthesis,Heme synthesis,Urea cycle,,B,
BRS-P-093,BIOCHEMISTRY,,Orotic aciduria presenting with a urea cycle defect is caused by a deficiency of:,Ornithine transcarbamylase (OTC),,,,,A,
BRS-P-094,BIOCHEMISTRY,,"Exercise, muscle pain, red urine, and elevated CK. What is the diagnosis?",McArdle disease (myophosphorylase deficiency),,,,,A,
BRS-P-095,BIOCHEMISTRY,,Which of the following is considered a non-essential amino acid?,Alanine,,,,,A,
BRS-P-096,BIOCHEMISTRY,,Exercise cramps and dark urine due to Phosphofructokinase (PFK) deficiency is known as:,Tarui disease,,,,,A,
BRS-P-097,BIOCHEMISTRY,,Peripheral neuropathy without megaloblastic anemia is caused by deficiency of:,Vitamin B6 (often isoniazid-induced),,,,,A,
BRS-P-098,BIOCHEMISTRY,,Lesch-Nyhan syndrome is caused by a deficiency of which enzyme?,HGPRT,,,,,A,
BRS-P-099,BIOCHEMISTRY,,Von Gierke disease enzyme deficiency?,Debrancher,Glucose-6-phosphatase,Branching enzyme,Phosphorylase,,B,
BRS-P-100,BIOCHEMISTRY,,Thyroid hormone synthesis involves which amino acid?,Tryptophan,Tyrosine,Phenylalanine,Histidine,,B,
BRS-P-101,BIOCHEMISTRY,,Which fat-soluble vitamin is known for its antioxidant and anti-aging properties?,Vitamin E,,,,,A,
BRS-P-102,BIOSTATISTICS,,A study population is divided into age groups and then randomly selected. This sampling method is:,Stratified random sampling,,,,,A,
BRS-P-103,CARDIOLOGY,,An inferior wall myocardial infarction associated with second-degree AV block most commonly involves which coronary artery?,Left anterior descending artery,Left circumflex artery,Right coronary artery,Posterior interventricular artery,,C,
BRS-P-104,CARDIOLOGY,,"75 P, 35 QRS. Diagnosis?",Sinus bradycardia,3rd degree AV block,2nd degree Mobitz I,2nd degree Mobitz II,,B,
BRS-P-105,CARDIOLOGY,,AV block with QRS after 15-30 sec. Diagnosis?,1st degree,Ventricular escape rhythm,Sinus pause,Mobitz II,,B,
BRS-P-106,CARDIOLOGY,,A patient with a history of heart disease presents with a very low TSH level. What is the most likely cardiac complication?,Atrial fibrillation secondary to hyperthyroidism,,,,,A,
BRS-P-107,CARDIOLOGY,,"ST-segment elevation in ECG leads II, III, and aVF indicates an inferior wall myocardial infarction. Which artery is typically occluded?",Right Coronary Artery (RCA),,,,,A,
BRS-P-108,EMBRYOLOGY,,Renal agenesis most commonly results from failure of development of the:,Metanephric blastema,Ureteric bud,Mesonephric duct only,Pronephros,,B,
BRS-P-109,EMBRYOLOGY,,Cleft lip results from the failure of fusion of which structures?,Maxillary process and medial nasal process,,,,,A,
BRS-P-110,EMBRYOLOGY,,Cleft palate results from the failure of fusion of which structures?,Palatine shelves,,,,,A,
BRS-P-111,EMBRYOLOGY,,Which muscles are derived from the first pharyngeal arch?,"Muscles of mastication, tensor tympani, tensor veli palatini, mylohyoid, anterior digastric",,,,,A,
BRS-P-112,EMBRYOLOGY,,Muscles of facial expression are derived from:,First pharyngeal arch,Second pharyngeal arch,Third pharyngeal arch,Fourth pharyngeal arch,,B,
BRS-P-113,EMBRYOLOGY,,Nerve of second pharyngeal arch is:,CN V3,CN VII,CN IX,CN X,,B,
BRS-P-114,EMBRYOLOGY,,The muscles of the tongue are embryologically derived from:,Occipital myotomes,,,,,A,
BRS-P-115,EMBRYOLOGY,,The stapes and stapedial artery are derivatives of which pharyngeal arch?,Second pharyngeal arch,,,,,A,
BRS-P-116,EMBRYOLOGY,,The frontal sinus embryologically develops from the:,Frontal recess of the middle meatus,,,,,A,
BRS-P-117,ENDOCRINOLOGY,,Suspected diagnosis is pheochromocytoma. The most sensitive diagnostic test is:,24-hour urinary VMA,24-hour urinary fractionated metanephrines,Plasma cortisol,CT abdomen,,B,
BRS-P-118,ENDOCRINOLOGY,,What is the primary autoantibody responsible for Graves disease?,Thyroid-stimulating immunoglobulins (TSI),,,,,A,
BRS-P-119,ENDOCRINOLOGY,,Graves disease is most commonly caused by:,Anti-thyroglobulin antibodies,Anti-thyroid peroxidase antibodies,Thyroid-stimulating immunoglobulins (TSH receptor antibodies),Anti-dsDNA antibodies,,C,
BRS-P-120,ENDOCRINOLOGY,,Painful thyroid enlargement following a viral illness is characteristic of:,Graves disease,Hashimoto thyroiditis,Subacute (de Quervain) thyroiditis,Toxic multinodular goiter,,C,
BRS-P-121,ENDOCRINOLOGY,,Painful enlargement of the thyroid with subsequent hypothyroidism is most consistent with:,Graves disease,Hashimoto thyroiditis,Subacute (de Quervain) thyroiditis,Toxic multinodular goiter,,C,
BRS-P-122,ENDOCRINOLOGY,,Painful goiter followed by hypothyroidism suggests:,Hashimoto thyroiditis (or Subacute thyroiditis depending on full options),,,,,A,
BRS-P-123,ENDOCRINOLOGY,,What is the diagnostic test for an adrenal (suprarenal) mass suspected to be pheochromocytoma?,Urinary VMA (classic) or metanephrines (best/sensitive),,,,,A,
BRS-P-124,ENDOCRINOLOGY,,What is the typical thyroid function test profile for secondary hypothyroidism?,Low TSH and Low free T4,,,,,A,
BRS-P-125,ENDOCRINOLOGY,,"In a patient with Graves disease, what happens to the serum level of Thyroid Stimulating Hormone (TSH)?",Decreased (due to negative feedback from high T3/T4),,,,,A,
BRS-P-126,ENDOCRINOLOGY,,"A patient presents with decreased calcium, increased PTH, increased ALP, and normal/low phosphorus. What is the most likely diagnosis?",Vitamin D deficiency / Osteomalacia,,,,,A,
BRS-P-127,ENT,,Conductive hearing loss results from pathology involving the:,Cochlea,Auditory nerve,External or middle ear,Auditory cortex,,C,
BRS-P-128,ENT,,Sensory nerve supply of dorsum of nose is by:,Infraorbital nerve,External nasal branch of Anterior ethmoidal nerve,Nasociliary nerve,Maxillary nerve,,B,
BRS-P-129,ENT,,The epithelium lining the vestibule of nose is:,Pseudostratified ciliated columnar,Stratified squamous keratinized,Simple cuboidal,Transitional,,B,
BRS-P-130,ENT,,The afferent limb of gag reflex is carried by:,Vagus nerve,Glossopharyngeal nerve,Trigeminal nerve,Accessory nerve,,B,
BRS-P-131,ENT,,The muscle that opens the Eustachian tube during swallowing is:,Tensor tympani,Tensor veli palatini,Levator veli palatini,Salpingopharyngeus,,B,
BRS-P-132,ENT,,Contents of external auditory meatus include:,Ceruminous glands + Hair follicles,Goblet cells,Taste buds,Olfactory receptors,,A,
BRS-P-133,ENT,,Pulsatile swelling in orbit after trauma suggests:,Orbital cellulitis,Carotid-cavernous fistula,Graves ophthalmopathy,Orbital hematoma,,B,
BRS-P-134,ENT,,Cleft lip is due to failure of fusion of:,Maxillary and mandibular processes,Medial nasal process with maxillary process,Palatine shelves,Lateral nasal process,,B,
BRS-P-135,ENT,,Cleft palate is due to failure of fusion of:,Medial nasal processes,Palatine shelves of maxillary processes,Frontonasal process,Mandibular arches,,B,
BRS-P-136,ENT,,Parapharyngeal space is widest at:,Base of skull,Superior mediastinum,Mid pharynx,Hyoid bone,,A,
BRS-P-137,ENT,,Nerve supply of lateral nasal wall is:,Anterior ethmoidal,Anterior and Posterior ethmoidal + Sphenopalatine nerves,Infraorbital,Greater palatine,,B,
BRS-P-138,ENT,,Function of stapedius muscle is:,Tension of tympanic membrane,Dampens loud sounds / Attenuates bone conduction,Opens eustachian tube,Moves ossicles,,B,
BRS-P-139,ENT,,All of the following are derivatives of 1st pharyngeal arch EXCEPT:,Masseter,Stapedius,Temporalis,Lateral pterygoid,,B,
BRS-P-140,ENT,,"After surgery in posterior triangle of neck, patient cannot shrug shoulder. Nerve damaged is:",Dorsal scapular,Accessory nerve CN XI,Long thoracic,Phrenic,,B,
BRS-P-141,ENT,,Depolarization of olfactory receptor cells is caused by:,Influx of Na+ and Ca2+,Efflux of K+,Influx of Cl-,Efflux of Na+,,A,
BRS-P-142,ENT,,"In cystic fibrosis, sodium concentration in saliva is:",Increased,Decreased,Normal,Absent,,A,
BRS-P-143,ENT,,Loss of bitter taste is most commonly due to lesion of:,Facial nerve,Glossopharyngeal nerve,Chorda tympani,Vagus nerve,,B,
BRS-P-144,ENT,,Satiety center in hypothalamus is located in:,Lateral hypothalamic nucleus,Ventromedial nucleus,Supraoptic nucleus,Paraventricular nucleus,,B,
BRS-P-145,ENT,,Apert syndrome is characterized by:,Craniosynostosis + Syndactyly,Cleft lip + Cleft palate,Microcephaly + Mental retardation,Polydactyly + Obesity,,A,
BRS-P-146,ENT,,A patient has a suppurative ear infection and facial palsy but no ataxia. Where is the lesion?,Facial canal lesion,,,,,A,
BRS-P-147,ENT,,Ramsay Hunt syndrome involves reactivation of a virus in which ganglion?,Geniculate ganglion,,,,,A,
BRS-P-148,ENT,,"Facial weakness, drooling, and hyperacusis after head trauma indicates a lesion where?",Facial nerve lesion proximal to stapedius,,,,,A,
BRS-P-149,ENT,,Noise-induced hearing loss (NIHL) initially affects which frequency and cells?,4000 Hz (4 kHz) frequency and Outer hair cells,,,,,A,
BRS-P-150,ENT,,"In noise-induced hearing loss, where is the initial structural damage located?",Basal turn of the cochlea,,,,,A,
BRS-P-151,EPIDEMIOLOGY,,What is the most common cancer in men in Pakistan (excluding prostate)?,Oral cavity carcinoma,,,,,A,
BRS-P-152,ETHICS,,An employer asks about the illness of an employee who is on medical leave. The doctor should maintain:,Beneficence,Justice,Patient confidentiality (Autonomy),Non-maleficence,,C,
BRS-P-153,GASTROENTEROLOGY,,Pain occurring 2–3 hours after meals and at night is characteristic of:,Gastric ulcer,Duodenal ulcer,Acute pancreatitis,Cholecystitis,,B,
BRS-P-154,GASTROENTEROLOGY,,Gold standard investigation for Wilson disease is:,Serum ceruloplasmin,24-hour urinary copper,Liver biopsy with quantitative copper estimation,Slit-lamp examination,,C,
BRS-P-155,GASTROENTEROLOGY,,Elevation of both conjugated and unconjugated bilirubin is most suggestive of:,Hemolytic jaundice,Hepatocellular jaundice,Complete extrahepatic obstruction,Gilbert syndrome,,B,
BRS-P-156,GASTROENTEROLOGY,,What electrolyte abnormality is most commonly caused by persistent vomiting?,Hypokalemia,,,,,A,
BRS-P-157,GASTROENTEROLOGY,,Raised direct and indirect bilirubin together indicates:,Hepatocellular jaundice,,,,,A,
BRS-P-158,GASTROENTEROLOGY,,"Prolonged parenteral nutrition lacks enteral stimulation, leading to atrophic gastritis primarily due to the absence of which trophic hormone?",Gastrin,,,,,A,
BRS-P-159,GENETICS,,Polymerase Chain Reaction (PCR) is primarily used to:,Detect antibodies,Amplify DNA sequences,Detect proteins,Culture microorganisms,,B,
BRS-P-160,GENETICS,,What cellular structures do Barr bodies represent in a female somatic cell?,Inactive X chromosome (Lyonization),,,,,A,
BRS-P-161,GYNECOLOGY,,"A 28-year-old female presents with 6 weeks amenorrhea, severe lower abdominal pain and vaginal spotting. USG shows empty uterus and adnexal mass. Diagnosis is:",Threatened abortion,Ovarian torsion,Ectopic pregnancy,PID,,C,
BRS-P-162,GYNECOLOGY,,"A patient presents with amenorrhea, pain, and bleeding with an empty uterus. Most likely diagnosis:",Ectopic pregnancy,,,,,A,
BRS-P-163,GYNECOLOGY,,What is the most common site for an ectopic pregnancy?,Ampulla of fallopian tube,,,,,A,
BRS-P-164,HEMATOLOGY,,Massive splenomegaly weighing up to 3000 g is classically associated with:,Acute leukemia,Chronic myeloid leukemia (CML),ITP,Hereditary spherocytosis,,B,
BRS-P-165,HEMATOLOGY,,Drug-induced pancytopenia most commonly results in:,Iron deficiency anemia,Aplastic anemia,Hemophilia,Polycythemia vera,,B,
BRS-P-166,HEMATOLOGY,,Massive splenomegaly (weighing ~3 kg) is characteristically seen in:,Chronic Myeloid Leukemia (CML),,,,,A,
BRS-P-167,HEMATOLOGY,,Drug-induced pancytopenia classically results in:,Aplastic anemia,,,,,A,
BRS-P-168,HEMATOLOGY,,Agglutination: Anti-A + Anti-D positive. Which agglutinin in donor blood?,Anti-A,Anti-B,Anti-B + Anti-Rh,None,,C,
BRS-P-169,HEMATOLOGY,,What is the chromosomal translocation associated with Chronic Myeloid Leukemia (CML)?,t(9;22),,,,,A,
BRS-P-170,HEMATOLOGY,,How does citrate function as an anticoagulant in stored blood bags?,Chelates calcium,Binds thrombin,,,,A,
BRS-P-171,HEMATOLOGY,,A patient with Chronic Myeloid Leukemia (CML) presents with joint pain. Which investigation is most appropriate to determine the cause?,Serum uric acid (for secondary gout),Serum calcium,Rheumatoid Factor (RF),ANA,,A,
BRS-P-172,HEMATOLOGY,,What is a classic bone marrow finding in myelodysplastic syndrome (MDS)?,Hypercellular marrow with ring sideroblasts,,,,,A,
BRS-P-173,HEMATOLOGY,,How does the coagulation profile of Disseminated Intravascular Coagulation (DIC) differ from Von Willebrand Disease?,"DIC features elevated PT, low platelets, and elevated D-dimer",,,,,A,
BRS-P-174,HISTOLOGY,,Type II pneumocytes secrete surfactant via which intracellular structures?,Interlamellar canaliculi / lamellar bodies,,,,,A,
BRS-P-175,HISTOLOGY,,What is the histology of the epithelium lining the nasal vestibule?,Keratinized stratified squamous epithelium,,,,,A,
BRS-P-176,HISTOLOGY,,The normal epithelium lining the lower 1/3 of the esophagus is:,Non-keratinized stratified squamous epithelium,,,,,A,
BRS-P-177,IMMUNOLOGY,,MHC Class I molecules present endogenous antigens to which of the following cells?,CD4+ T helper cells,B cells,CD8+ Cytotoxic T cells,NK cells,,C,
BRS-P-178,IMMUNOLOGY,,What is the most specific autoantibody for systemic lupus erythematosus (SLE)?,Anti-dsDNA antibody,,,,,A,
BRS-P-179,IMMUNOLOGY,,Which cytokine is primarily responsible for septic shock in Neisseria meningitidis infection?,TNF-alpha,,,,,A,
BRS-P-180,IMMUNOLOGY,,MHC Class I molecules present endogenous antigens to which cells?,CD8+ Cytotoxic T cells,,,,,A,
BRS-P-181,IMMUNOLOGY,,A baby born to a mother with SLE develops congenital complete heart block. Which maternal antibody is responsible?,Anti-Sm,Anti-dsDNA,Anti-Ro (SSA),Anti-centromere,,C,
