QuestionID,Chapter,Topic,Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation,Hint
RWR-Trauma-002,Trauma,,"A 35-year-old man presents to the emergency department after a motor vehicle accident. He sustained multiple injuries with massive blood loss. He was immediately resuscitated and transfused 10 units of packed red blood cells, and the active bleeding was surgically controlled. However, despite adequate transfusion, his hemoglobin remains low, and he continues to ooze from minor sites.Which of the following is the most likely cause?",Dilutional thrombocytopenia,Hemophilia,Factor V Leiden mutation,Vitamin K deficiency,Acute hemolytic transfusion reaction,A,"<span style=""color:green""><b>Dilutional thrombocytopenia:</b></span> Massive PRBC transfusion → platelet dilution → oozing.<br><br><span style=""color:red""><b>Hemophilia:</b></span> Congenital.<br><br><span style=""color:red""><b>Factor V Leiden:</b></span> Prothrombotic.<br><br><span style=""color:red""><b>Vitamin K deficiency:</b></span> Develops slowly.<br><br><span style=""color:red""><b>Acute hemolytic reaction:</b></span> Fever, hypotension, hemoglobinuria.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Transfusion washes out platelets.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> He received 10 units of PRBCs. Stored red cells lack functional platelets and clotting factors. What blood component deficiency does this cause?"
RWR-Nervous System-002,Nervous System,,"A 28-year-old man undergoes general anesthesia for elective surgery. During the procedure, he develops sudden hyperthermia, muscle rigidity, and tachycardia. Laboratory investigations reveal hyperkalemia and metabolic acidosis.Which type of cerebral edema is most likely to develop in this patient?",Vasogenic,Interstitial,Hydrostatic,Osmotic,Cytotoxic,A,"<span style=""color:green""><b>Cytotoxic:</b></span> Malignant hyperthermia → ATP loss, ion pump failure → cellular edema.<br><br><span style=""color:red""><b>Vasogenic:</b></span> BBB breakdown.<br><br><span style=""color:red""><b>Interstitial:</b></span> Hydrocephalus.<br><br><span style=""color:red""><b>Hydrostatic:</b></span> Not a standard type.<br><br><span style=""color:red""><b>Osmotic:</b></span> Hyponatremia/hyperglycemia.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""MH energy crisis → cytotoxic edema.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> Malignant hyperthermia causes a hypermetabolic state with ATP depletion and ion pump failure inside cells. What type of brain swelling results from cellular energy failure?"
RWR-Anesthesia-001,Anesthesia,,"A 35-year-old man undergoes general anesthesia for an elective procedure. Postoperatively, he is unable to move his limbs or breathe adequately despite the expected duration of surgery being completed. He is hemodynamically stable, and there are no signs of hypoxia.Which anesthetic drug is the most likely cause of this prolonged muscle relaxation?",Suxamethonium,Rocuronium,Vecuronium,Atracurium,Propofol,A,"<span style=""color:green""><b>Suxamethonium:</b></span> Depolarizing, broken by pseudocholinesterase; deficiency → prolonged paralysis.<br><br><span style=""color:red""><b>Rocuronium:</b></span> Non-depolarizing.<br><br><span style=""color:red""><b>Vecuronium:</b></span> Non-depolarizing.<br><br><span style=""color:red""><b>Atracurium:</b></span> Hofmann elimination.<br><br><span style=""color:red""><b>Propofol:</b></span> Induction agent.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Suxamethonium + low enzyme = long paralysis.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> Post‑op the patient cannot move or breathe despite the surgery being over. Which muscle relaxant depends on pseudocholinesterase for breakdown, and if that enzyme is deficient, paralysis is prolonged?"
RWR-Gastrointestinal System-005,Gastrointestinal System,,"A 19-year-old male presents with 18 hours of abdominal pain, initially periumbilical but later shifting to the right lower quadrant, accompanied by anorexia, nausea, and fever. On examination, he has temperature 38°C, localized tenderness, rebound, and guarding at McBurney's point with positive Rovsing's sign. His WBC count is 14,200/mm³ with neutrophilia, and ultrasound shows a non-compressible tubular structure of 8 mm in diameter with surrounding fat stranding. What is the best next step in management?",Immediate appendectomy,IV antibiotics alone with observation,Oral antibiotics and outpatient follow-up,Laparotomy with right hemicolectomy,CT-guided drainage of the appendix,A,"<span style=""color:green""><b>Immediate appendectomy:</b></span> Classic acute appendicitis → surgery to prevent perforation.<br><br><span style=""color:red""><b>IV antibiotics alone:</b></span> Not definitive for clear appendicitis.<br><br><span style=""color:red""><b>Oral antibiotics:</b></span> Not appropriate.<br><br><span style=""color:red""><b>Right hemicolectomy:</b></span> Too extensive.<br><br><span style=""color:red""><b>CT-guided drainage:</b></span> No drainable collection.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Appendicitis = appendectomy.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> Classic McBurney’s point tenderness, rebound, guarding, and an 8 mm non‑compressible appendix on ultrasound. What is the definitive treatment for uncomplicated acute appendicitis?"
RWR-Endocrine System-002,Endocrine System ,,"A 55-year-old man with a history of type 2 diabetes presents to the emergency department with nausea, vomiting, and generalized weakness for the past 2 days.On examination, he is dehydrated and tachypneic. Basic laboratory investigations show elevated blood glucose and mild ketonuria, while arterial blood gas analysis reveals a pH of 7.2, HCO3⁻ of 17 mEq/L, and PaCO2 of 24 mmHg. Which acid-base disorder does this patient most likely have?",Uncompensated metabolic acidosis,Partially compensated metabolic acidosis,Respiratory acidosis,Metabolic alkalosis,Mixed metabolic and respiratory alkalosis,B,"<span style=""color:green""><b>Partially compensated metabolic acidosis:</b></span> pH low, HCO3- low, PaCO2 low (compensation incomplete).<br><br><span style=""color:red""><b>Uncompensated:</b></span> Normal PaCO2.<br><br><span style=""color:red""><b>Respiratory acidosis:</b></span> High PaCO2.<br><br><span style=""color:red""><b>Metabolic alkalosis:</b></span> High pH, HCO3-.<br><br><span style=""color:red""><b>Mixed alkalosis:</b></span> Alkaline pH.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Low pH + low CO2, still acidic = partial compensation.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> pH is 7.2 (low), HCO₃⁻ is 17 (low), and PaCO₂ is 24 (low). The lungs are trying to blow off CO₂, but pH is still abnormal. Is this compensation complete or only partial?"
RWR-Endocrine System-003,Endocrine System,,"A 22-year-old man with known type 1 diabetes mellitus presents to the emergency department with nausea, vomiting, and abdominal pain for the past 2 days.On examination, he is dehydrated, tachycardic, and tachypneic. Laboratory investigations reveal a blood glucose level of 480 mg/dL, positive serum ketones, and arterial blood gas showing a pH of 7.18, PaCO2 of 25 mmHg, and HCO3⁻ of 12 mEq/L. Which acid-base disorder does this patient most likely have?",Uncompensated metabolic acidosis,Compensated metabolic acidosis,Mixed metabolic and respiratory acidosis,High anion gap metabolic acidosis,Normal acid-base,D,"<span style=""color:green""><b>High anion gap metabolic acidosis:</b></span> DKA → ketoacids (unmeasured anions) → ↑ gap.<br><br><span style=""color:red""><b>Uncompensated:</b></span> Not specific.<br><br><span style=""color:red""><b>Compensated:</b></span> pH still 7.18.<br><br><span style=""color:red""><b>Mixed metabolic/respiratory acidosis:</b></span> PaCO2 low, not high.<br><br><span style=""color:red""><b>Normal:</b></span> Clearly abnormal.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""DKA = wide anion gap.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> DKA produces ketoacids, which are unmeasured anions. What is the name for a metabolic acidosis where the anion gap is increased?"
RWR-Gastrointestinal System-006,Gastrointestinal System,,"A 68-year-old man with a history of atrial fibrillation, well-controlled on antiarrhythmic medications, presents to the emergency department with sudden onset severe abdominal pain for the last few hours. He describes the pain as out of proportion to examination findings. On physical exam, the abdomen is soft with mild tenderness. The pain partially improves after defecation. Labs show mild leukocytosis.What is the most likely diagnosis?",Acute mesenteric ischemia,Chronic mesenteric ischemia,Gastroenteritis,Small bowel obstruction,Peptic ulcer disease,A,"<span style=""color:green""><b>Acute mesenteric ischemia:</b></span> AFib → embolism, pain out of proportion, soft abdomen.<br><br><span style=""color:red""><b>Chronic mesenteric ischemia:</b></span> Post-prandial pain, weight loss.<br><br><span style=""color:red""><b>Gastroenteritis:</b></span> Diarrhea, diffuse tenderness.<br><br><span style=""color:red""><b>SBO:</b></span> Distension, vomiting.<br><br><span style=""color:red""><b>PUD:</b></span> Epigastric meal-related pain.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""AFib + severe pain out of proportion = mesenteric ischemia.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> He has atrial fibrillation, sudden severe abdominal pain, and a soft belly with pain “out of proportion” to exam. Which vascular emergency starts this way?"
RWR-Gastrointestinal System-007,Gastrointestinal System,,"A 10-year-old boy presented to the clinic with right lower quadrant pain one week ago, which was mild and self-limiting. Today, he has a tender, firm mass in the right lower quadrant, mild fever, and leukocytosis. Ultrasound shows a well-defined appendicular mass.What is the most appropriate next step in management?",Emergency appendectomy,IV antibiotics with conservative management,Observe without treatment,Percutaneous drainage immediately,Laparoscopic exploration now,B,"<span style=""color:green""><b>IV antibiotics with conservative management:</b></span> Appendicular mass → Ochsner-Sherren regimen, interval appendectomy.<br><br><span style=""color:red""><b>Emergency appendectomy:</b></span> Hazardous with mass.<br><br><span style=""color:red""><b>Observe without treatment:</b></span> Needs antibiotics.<br><br><span style=""color:red""><b>Percutaneous drainage:</b></span> For abscess.<br><br><span style=""color:red""><b>Laparoscopic exploration:</b></span> Same risk as surgery.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Mass = hands off, antibiotics first.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> A tender mass one week after mild RLQ pain, with fever and leukocytosis. Should you rush to the OR, or is there a safer non‑surgical first step?"
RWR-Endocrine System-004,Endocrine System,,"A 58-year-old man with a 15-year history of type 2 diabetes presents for a routine eye check-up. He reports no visual complaints. On fundoscopic examination, there are microaneurysms, dot and blot hemorrhages, and hard exudates in both eyes.What is the most likely diagnosis?",Hypertensive retinopathy,Diabetic retinopathy,Retinal vein occlusion,Age-related macular degeneration,Central retinal artery occlusion,B,"<span style=""color:green""><b>Diabetic retinopathy:</b></span> Microaneurysms, dot-blot hemorrhages, hard exudates in long-term DM.<br><br><span style=""color:red""><b>Hypertensive retinopathy:</b></span> AV nicking, cotton-wool spots.<br><br><span style=""color:red""><b>Retinal vein occlusion:</b></span> Sudden vision loss, blood and thunder.<br><br><span style=""color:red""><b>AMD:</b></span> Drusen, pigment changes.<br><br><span style=""color:red""><b>Central retinal artery occlusion:</b></span> Cherry-red spot.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""DM + microaneurysms = NPDR.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> Fundoscopy shows microaneurysms, dot‑blot hemorrhages, and hard exudates in a 58‑year‑old with 15‑year type 2 diabetes. Which retinal complication of diabetes does this describe?"
RWR-Trauma-003,Trauma,,"A 25-year-old man is brought to the emergency department after being stabbed in the neck. He is bleeding profusely, and the bleeding appears arterial (bright red, spurting). The patient is conscious but anxious.What is the most appropriate immediate step to control the bleeding?",Remove the penetrating object,Apply direct pressure on the wound,Dress the wound lightly,Elevate the neck,Start IV fluids first,B,"<span style=""color:green""><b>Apply direct pressure on the wound:</b></span> First step for external arterial bleed.<br><br><span style=""color:red""><b>Remove object:</b></span> Never.<br><br><span style=""color:red""><b>Dress lightly:</b></span> Won't stop spurting.<br><br><span style=""color:red""><b>Elevate neck:</b></span> Ineffective.<br><br><span style=""color:red""><b>IV fluids first:</b></span> Control bleeding first.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Direct pressure, don't pull the knife.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> Bright red, spurting blood from a neck stab wound. What is the very first hands‑on action to control life‑threatening external hemorrhage?"
RWR-Nervous System-003,Nervous System,,"A 6-year-old boy is brought to the emergency department after a fall from a tree. On examination, he is responsive only to painful stimuli with his eyes, makes mumbling sounds, and is able to localize pain by moving his hands toward the source.Calculate the Glasgow Coma Scale (GCS) for this patient.",7,8,9,10,11,C,"<span style=""color:green""><b>9</b></span> Eyes to pain = 2, verbal mumbling = 2, motor localizes = 5 → total 9.<br><br><span style=""color:red""><b>7</b></span> Too low; would require lower scores.<br><br><span style=""color:red""><b>8</b></span> Miscalculation.<br><br><span style=""color:red""><b>10</b></span> Too high; localizing is 5, not 6.<br><br><span style=""color:red""><b>11</b></span> Normal or near normal; not consistent with exam.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""E4 V5 M6 – pain is 2, mumble is 2, localize is 5.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> Eyes open to pain, mumbling sounds, and localizing pain — what do those three numbers add up to?"
RWR-Gastrointestinal System-008,Gastrointestinal System,,"A 3-month-old infant is brought for surgical evaluation due to cleft lip, cleft palate, cleft nose, and cleft alveolar ridge. The parents are concerned about feeding and cosmetic appearance. Which structure should be surgically repaired first as part of the standard protocol.",Cleft nose repair,Cleft palate repair,Cleft alveolar ridge repair,Cleft lip repair,Combined lip and palate repair in a single stage,D,"<span style=""color:green""><b>Cleft lip repair</b></span> Standard protocol repairs the lip first at ~3 months (rule of 10s), then palate later.<br><br><span style=""color:red""><b>Cleft nose repair</b></span> Done later, often with lip revision.<br><br><span style=""color:red""><b>Cleft palate repair</b></span> Repaired ~9-12 months to allow maxillary growth.<br><br><span style=""color:red""><b>Cleft alveolar ridge repair</b></span> Bone grafting in mixed dentition.<br><br><span style=""color:red""><b>Combined lip and palate repair in a single stage</b></span> Not standard in a 3-month-old.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Lip first by 3 months, palate around 9-12 months.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> The rule of 10s guides timing — which structure meets those criteria for earliest repair?"
RWR-Endocrine System-005,Endocrine System,,"A 40-year-old woman underwent a total thyroidectomy for multinodular goiter. On the 2nd postoperative day, she reports that her voice is weaker and fatigues quickly, especially when speaking for longer periods. She does not have hoarseness or stridor. Laryngoscopy shows normal movement of both vocal cords.Which nerve was most likely injured during surgery?",Recurrent laryngeal nerve,External branch of superior laryngeal nerve,Internal branch of superior laryngeal nerve,Glossopharyngeal nerve,Hypoglossal nerve,B,"<span style=""color:green""><b>External branch of superior laryngeal nerve</b></span> Injury causes cricothyroid weakness → voice fatigue, no hoarseness, normal cord movement.<br><br><span style=""color:red""><b>Recurrent laryngeal nerve</b></span> Hoarseness and cord paralysis.<br><br><span style=""color:red""><b>Internal branch of superior laryngeal nerve</b></span> Sensory; impairs cough, not voice.<br><br><span style=""color:red""><b>Glossopharyngeal nerve</b></span> Not involved in voice.<br><br><span style=""color:red""><b>Hypoglossal nerve</b></span> Tongue muscles.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""External branch = tense the voice; injury = weak, fatigable voice, no hoarseness.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> She has voice weakness and fatigue but normal vocal cord movement — which nerve tenses the cords without opening/closing them?"
RWR-Hematologic System-001,Hematologic System,,"A 55-year-old woman undergoes total knee replacement and has an epidural catheter placed for postoperative analgesia. She is started on low molecular weight heparin (enoxaparin) 40 mg once daily for DVT prophylaxis. On postoperative day 2, the surgical team plans to remove the epidural catheter.Which of the following is the most appropriate timing for catheter removal according to current guidelines?",Immediately before the next scheduled LMWH dose,4 hours after the last LMWH dose,At least 12 hours after the last LMWH dose,24 hours after the first LMWH dose,"Any time, as long as patient is stable",C,"<span style=""color:green""><b>At least 12 hours after the last LMWH dose</b></span> Guidelines: wait 12h after prophylactic enoxaparin before epidural catheter removal.<br><br><span style=""color:red""><b>Immediately before the next dose</b></span> Risk of spinal hematoma at peak effect.<br><br><span style=""color:red""><b>4 hours after the last dose</b></span> Insufficient time.<br><br><span style=""color:red""><b>24 hours after the first dose</b></span> Unnecessary delay for prophylactic dosing.<br><br><span style=""color:red""><b>Any time if stable</b></span> Ignores pharmacokinetics, dangerous.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Prophylactic LMWH = wait 12h, therapeutic = wait 24h before pulling catheter.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> She is on a once-daily prophylactic dose of enoxaparin — how many hours must pass to safely remove the epidural catheter?"
