QuestionID,Chapter,Topic,Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation
Rafi-Ana-Dermatomes-001,Anatomy,Dermatomes,Dermatome for level of nipples:,T4,T5,T3,T6,T2,A,
Rafi-Ana-Dermatomes-002,Anatomy,Dermatomes,Dermatome for Umbilicus:,T10,T9,T11,T12,L1,A,
Rafi-Ana-Dermatomes-003,Anatomy,Dermatomes,"Dermatome for Knee, Medial Calf, and Medial Malleolus:",L4,L5,S1,S2,L3,A,
Rafi-Ana-Dermatomes-004,Anatomy,Dermatomes,Dermatome for Great Toe and Dorsum of foot:,L5,L4,S1,S2,L3,A,
Rafi-Ana-Dermatomes-005,Anatomy,Dermatomes,Dermatome for Little Toe and Lateral side of foot:,S1,L5,L4,S2,L3,A,
Rafi-Ana-Dermatomes-006,Anatomy,Dermatomes,Dermatome for Perineum:,"S2, S3, S4","S1, S2",L5,L4,L3,A,
Rafi-Ana-Dermatomes-007,Anatomy,Dermatomes,Sensory loss in a specific dermatome from a herniated disc is due to compression of:,Spinal nerve of posterior (dorsal) root,Anterior root,Spinal cord,Sympathetic chain,Ventral rami,A,
Rafi-Ana-General Ana: Airway-001,Anatomy,General Anatomy,Narrowest point in pediatric airway?,Cricoid cartilage,Vocal cords,Trachea,Bronchus,Pharynx,A,
Rafi-Ana-General Ana: Airway-002,Anatomy,General Anatomy,Male urethra narrowest part is?,External urethral meatus,Membranous urethra,Prostatic urethra,Bulbar urethra,Penile urethra,A,
Rafi-Ana-General Ana: Airway-003,Anatomy,General Anatomy,Least distensible (dilatable) part of male urethra?,Membranous urethra,Prostatic urethra,Bulbar urethra,Penile urethra,External meatus,A,
Rafi-Ana-General Ana: Airway-004,Anatomy,General Anatomy,Most distensible part of male urethra?,Prostatic urethra,Membranous urethra,Bulbar urethra,Penile urethra,Navicular fossa,A,
Rafi-Ana-General Ana: Airway-005,Anatomy,General Anatomy,Esophagus is narrowest at?,Cricopharyngeus,Aortic arch,Left main bronchus,Diaphragm,Cardia,A,
Rafi-Ana-General Ana: Airway-006,Anatomy,General Anatomy,Average length of ureter?,25 cm,10 cm,15 cm,30 cm,40 cm,A,
Rafi-Ana-General Ana: Airway-007,Anatomy,General Anatomy,Long bone epiphysis is supplied by:,Epiphyseal artery,Metaphyseal artery,Nutrient artery,Periosteal artery,Diaphyseal artery,A,
Rafi-Ana-General Ana: Bones-001,Anatomy,General Anatomy,Most common fractured long bone overall is:,Tibia,Femur,Humerus,Radius,Ulna,A,
Rafi-Ana-General Ana: Fractures-001,Anatomy,General Anatomy,Most common fractured bone in the upper limb is:,Clavicle,Humerus,Radius,Ulna,Scaphoid,A,
Rafi-Ana-General Ana: Fractures-002,Anatomy,General Anatomy,Most commonly fractured carpal bone in hand is:,Scaphoid,Lunate,Triquetrum,Pisiform,Hamate,A,
Rafi-Ana-General Ana: Fractures-003,Anatomy,General Anatomy,Most commonly dislocated carpal bone is:,Lunate,Scaphoid,Capitate,Hamate,Trapezium,A,
Rafi-Ana-General Ana: Fractures-004,Anatomy,General Anatomy,Most common point of rib fracture is:,Angle of rib,Head of rib,Neck of rib,Costal cartilage,Sternal end,A,
Rafi-Ana-General Ana: Fractures-005,Anatomy,General Anatomy,"If foot size decreases after a trauma, suspect fracture of:",Calcaneum,Femur neck,Tibia,Fibula,Talus,A,
Rafi-Ana-General Ana: Fractures-006,Anatomy,General Anatomy,Limb growth will be stunted if a fracture passes through:,Epiphyseal plate,Diaphysis,Metaphysis,Periosteum,Medullary cavity,A,
Rafi-Ana-General Ana: Fractures-007,Anatomy,General Anatomy,Most common type of fracture in patients above 60 years is:,Fracture of femur neck,Fracture of radius,Fracture of humerus,Fracture of tibia,Fracture of spine,A,
Rafi-Ana-General Ana: Fractures-008,Anatomy,General Anatomy,Most common site of clavicle fracture is:,Junction of lateral 1/3 and medial 2/3,Lateral 1/3,Middle 1/3,Medial 1/3,Acromial end,A,
Rafi-Ana-General Ana: Fractures-009,Anatomy,General Anatomy,First rib fracture most commonly causes damage to:,Subclavian artery,Axillary artery,Brachial artery,Carotid artery,Vertebral artery,A,
Rafi-Ana-General Ana: Fractures-010,Anatomy,General Anatomy,Fracture of acetabulum superior-lateral (or postero-superior pelvis) involves:,Ilium and ischium,Pubis and ischium,Ilium and pubis,Sacrum,Coccyx,A,
Rafi-Ana-General Ana: Fractures-011,Anatomy,General Anatomy,Which of the following receive subcapsular afferent lymphatic supply?,Lymph node,Spleen,Thymus,Tonsil,Peyer's patch,A,
Rafi-Ana-General Ana: Fractures-012,Anatomy,General Anatomy,Sweat glands are innervated by:,Sympathetic cholinergic,Sympathetic adrenergic,Parasympathetic,Somatic,Enteric,A,
Rafi-Ana-General Ana: Fractures-013,Anatomy,General Anatomy,Hirschsprung disease lacks parasympathetic ganglion cells. Normal preganglionic fibers arise from:,"S2, S3, S4","L1, L2, L3","T10, T11, T12","C5, C6, C7","T1, T2, T3",A,
Rafi-Ana-General Ana: Fractures-014,Anatomy,General Anatomy,3-year-old child with flank pain and unilateral hydronephrosis. Most likely cause is:,Constriction at PUJ (Pelviureteric junction),Vesicoureteric reflux,Stone,Tumor,Stricture,A,
Rafi-Ana-General Ana: Lymphatics-001,Anatomy,General Anatomy,Boy with history of fall while cycling (straddle injury) presents with anuria. Lesion is in:,Bulbar urethra,Bladder,Ureter,Kidney,Prostate,A,
Rafi-Ana-General Ana: Nerves-001,Anatomy,General Anatomy,Characteristic of the female urethra:,Short and prone to infection,Longer than male,Curved,Has 3 distinct parts,Not prone to infection,A,
Rafi-Ana-General Ana: Neuro-001,Anatomy,General Anatomy,Neck of the female urethra lies on the:,Upper surface of urogenital diaphragm,Lower surface of urogenital diaphragm,Pelvic diaphragm,Perineal body,Pubis,A,
Rafi-Ana-General Ana: Neuro-002,Anatomy,General Anatomy,Neck of bladder and proximal urethra are supplied by:,Sympathetic L1-L2 via hypogastric plexus,Parasympathetic,Pudendal,Somatic,Enteric,A,
Rafi-Ana-General Ana: Urethra-001,Anatomy,General Anatomy,Arteries at 5 and 7 o'clock causing bleeding during transurethral prostate surgery:,Badenoch's artery,Internal pudendal,Inferior vesical,Middle rectal,Obturator,A,
Rafi-Ana-General Ana: Urethra-002,Anatomy,General Anatomy,Blood supply of lateral medulla is:,PICA (Posterior inferior cerebellar artery),AICA,Basilar artery,Vertebral artery,Posterior cerebral artery,A,
Rafi-Ana-General Ana: Urethra-003,Anatomy,General Anatomy,Pars distalis (Anterior pituitary) is supplied by:,Superior Hypophysial artery,Inferior Hypophysial artery,Carotid artery,Vertebral artery,Circle of Willis,A,
Rafi-Ana-General Ana: Urethra-004,Anatomy,General Anatomy,Artery most commonly involved in severe epistaxis (posterior bleed):,Sphenopalatine,Facial,Lingual,Maxillary,Superior thyroid,A,
Rafi-Ana-General Ana: Urethra-005,Anatomy,General Anatomy,Thyrohyoid and Geniohyoid muscle nerve supply is:,C1 via hypoglossal nerve,Ansa cervicalis,C2,C3,Vagus nerve,A,
Rafi-Ana-General Ana: Urethra-006,Anatomy,General Anatomy,"Sternohyoid, Sternothyroid, and Omohyoid nerve supply is:",Ansa cervicalis,Vagus,Hypoglossal,Trigeminal,Facial,A,
Rafi-Ana-General Ana: Urethra-007,Anatomy,General Anatomy,Platysma nerve supply is:,Cervical branch of facial nerve,Trigeminal nerve,Hypoglossal nerve,Accessory nerve,Vagus nerve,A,
Rafi-Ana-General Ana: Urethra-008,Anatomy,General Anatomy,Posterior belly of digastric nerve supply is:,Facial nerve,Trigeminal nerve,Hypoglossal nerve,Accessory nerve,Vagus nerve,A,
Rafi-Ana-General Ana: Urethra-009,Anatomy,General Anatomy,Masseter muscle nerve supply is:,Mandibular branch of trigeminal,Facial nerve,Hypoglossal nerve,Accessory nerve,Vagus nerve,A,```
Rafi-Ana-Head & Neck: Blood Supply-001,Anatomy,Head & Neck,Submandibular gland secretomotor supply is:,Parasympathetic part of facial nerve (Chorda tympani),Trigeminal nerve,Glossopharyngeal nerve,Vagus nerve,Hypoglossal nerve,A,
Rafi-Ana-Head & Neck: Blood Supply-002,Anatomy,Head & Neck,Sternocleidomastoid muscle nerve supply is:,Spinal accessory nerve,C1,C2,C3,C4,A,
Rafi-Ana-Head & Neck: Blood Supply-003,Anatomy,Head & Neck,Levator scapulae nerve supply is:,Dorsal scapular nerve,Long thoracic nerve,Suprascapular nerve,Axillary nerve,Thoracodorsal nerve,A,
Rafi-Ana-Head & Neck: Blood Supply-004,Anatomy,Head & Neck,Rectus Capitis Posterior nerve supply is:,Suboccipital nerve (C1 dorsal ramus),Great auricular nerve,Lesser occipital nerve,Transverse cervical nerve,Supraclavicular nerve,A,
Rafi-Ana-Head & Neck: Blood Supply-005,Anatomy,Head & Neck,Nerve supply of Dura in the Middle Cranial Fossa is:,Trigeminal nerve,Facial nerve,Glossopharyngeal nerve,Vagus nerve,Accessory nerve,A,
Rafi-Ana-Head & Neck: Muscles-001,Anatomy,Head & Neck,Sensory nerve supply of Posterior 1/3 of the Tongue is:,Glossopharyngeal nerve,Facial nerve,Trigeminal nerve,Vagus nerve,Hypoglossal nerve,A,
Rafi-Ana-Head & Neck: Muscles-002,Anatomy,Head & Neck,Nerve supplying skin area below orbit and above mouth is:,Maxillary division of trigeminal,Ophthalmic division of trigeminal,Mandibular division of trigeminal,Facial nerve,Glossopharyngeal nerve,A,
Rafi-Ana-Head & Neck: Nerve Supply-001,Anatomy,Head & Neck,Root value of Greater Auricular nerve is:,"C2, C3","C1, C2","C3, C4","C4, C5","C5, C6",A,
Rafi-Ana-Head & Neck: Nerve Supply-002,Anatomy,Head & Neck,Phrenic nerve (diaphragm motor supply) root value is:,"C3, C4, C5","C1, C2, C3","C5, C6, C7","C6, C7, C8","T1, T2, T3",A,
Rafi-Ana-Head & Neck: Nerve Supply-003,Anatomy,Head & Neck,Which structure has dual autonomic nerve supply but the effects are synergistic rather than reciprocal?,Salivary gland,Heart,Lung,Gut,Bladder,A,
Rafi-Ana-Lower Limb,Anatomy,Lower Limb,Avascular necrosis of the femoral head is likely due to damage to:,Lateral circumflex artery,Medial circumflex femoral artery,Obturator artery,Sciatic artery,Inferior gluteal artery,B,
Rafi-Ana-Lower Limb,Anatomy,Lower Limb,The main supply of the head of the humerus is:,Arcuate artery,Suprascapular artery,Subscapular artery,Axillary artery,Brachial artery,A,
Rafi-Ana-Lower Limb,Anatomy,Lower Limb,In some children Dorsalis pedis Artery is missing congenitally. Then dorsum of foot will be supplied by which artery?,Peroneal artery,Posterior tibial artery,Anterior tibial artery,Femoral artery,Popliteal artery,A,
Rafi-Ana-Lower Limb,Anatomy,Lower Limb,Long bones (lower end) supplied by:,Epiphyseal artery,Metaphyseal artery,Diaphyseal artery,Nutrient artery,Periosteal artery,A,
Rafi-Ana-Lower Limb,Anatomy,Lower Limb,The medial longitudinal arch is formed by:,"Calcaneum, Talus, Navicular, 3 Cuneiforms, first 3 Metatarsals","Calcaneum, Cuboid, 4th & 5th Metatarsals",Talus and Navicular only,Calcaneum and Cuboid only,All tarsal bones,A,
Rafi-Ana-Lower Limb,Anatomy,Lower Limb,"The ""Key stone"" of the medial longitudinal arch is:",Calcaneum,Navicular,Talus,Cuboid,Cuneiform,C,
Rafi-Ana-Lower Limb,Anatomy,Lower Limb,The main support ligament of the medial longitudinal arch is:,Long plantar ligament,Short plantar ligament,Spring ligament (Calcaneo-navicular),Deltoid ligament,Lateral ligament,C,
Rafi-Ana-Lower Limb,Anatomy,Lower Limb,Which bone does NOT articulate with the navicular?,Talus,Cuneiforms,Cuboid,Calcaneus,Metatarsals,D,
Rafi-Ana-Lower Limb,Anatomy,Lower Limb,Sinking of the right side of the pelvis on elevation of the contralateral foot during walking is caused by paralysis of:,Right gluteus medius/minimus,Left gluteus medius/minimus,Right gluteus maximus,Left gluteus maximus,Right tensor fascia lata,B,
Rafi-Ana-Lower Limb,Anatomy,Lower Limb,Patient unable to stand from sitting position due to damage to:,Gluteus maximus,Gluteus medius,Gluteus minimus,Hamstrings,Quadriceps,A,
Rafi-Ana-Lower Limb,Anatomy,Lower Limb,"Superior to piriformis, what is injured?",Superior gluteal artery/nerve,Inferior gluteal artery/nerve,Sciatic nerve,Pudendal nerve,Obturator nerve,A,
Rafi-Ana-Lower Limb,Anatomy,Lower Limb,Anterior dislocation of the tibia on the femur is prevented by:,Posterior cruciate ligament,Anterior cruciate ligament,Medial collateral ligament,Lateral collateral ligament,Patellar ligament,B,
Rafi-Ana-Lower Limb,Anatomy,Lower Limb,A footballer hit on the lateral side of the knee in extension is most likely to damage:,Lateral collateral ligament,Medial collateral ligament,Anterior cruciate ligament,Posterior cruciate ligament,Meniscus,B,
Rafi-Ana-Lower Limb,Anatomy,Lower Limb,Which ligament is intracapsular?,Tibial collateral,Fibular collateral,Cruciate ligaments,Patellar ligament,Oblique popliteal,C,
Rafi-Ana-Lower Limb,Anatomy,Lower Limb,Locking of the knee is produced by:,Quadriceps femoris (medial rotation of femur on tibia),Popliteus,Hamstrings,Sartorius,Gracilis,A,
Rafi-Ana-Lower Limb,Anatomy,Lower Limb,The muscle involved in unlocking of the knee joint is:,Popliteus,Quadriceps,Hamstrings,Sartorius,Gracilis,A,
Rafi-Ana-Lower Limb,Anatomy,Lower Limb,A sprained ankle resulting from excessive eversion. Most likely demonstrate that which structure is damaged:,Deltoid ligament,Calcaneofibular ligament,Anterior talofibular ligament,Posterior talofibular ligament,Spring ligament,A,
Rafi-Ana-Lower Limb,Anatomy,Lower Limb,Inversion and eversion always occur at which joints?,Ankle joint,Subtalar and transverse tarsal joints,Knee joint,Hip joint,Metatarsophalangeal joints,B,
Rafi-Ana-Lower Limb,Anatomy,Lower Limb,A 25-year-old sprinter developed acute leg pain while running. He can stand on his toes but it hurts. The most likely cause is:,Ruptured Plantaris tendon,Ruptured Achilles tendon,Fractured tibia,Fractured fibula,Sprained ankle,A,
Rafi-Ana-Lower Limb,Anatomy,Lower Limb,Avulsion of the lesser trochanter suggests damage to:,Sartorius,Rectus femoris,Psoas major,Iliacus,Gluteus maximus,C,
Rafi-Ana-Lower Limb,Anatomy,Lower Limb,Anterior inferior iliac spine fracture is caused by avulsion of:,Sartorius,Rectus femoris,Psoas major,Iliacus,Vastus lateralis,B,
Rafi-Ana-Lower Limb,Anatomy,Lower Limb,Anterior superior iliac spine fracture is caused by avulsion of:,Sartorius,Rectus femoris,Psoas major,Tensor fascia lata,Gracilis,A,
Rafi-Ana-Lower Limb,Anatomy,Lower Limb,Muscle which flexes both knee and thigh is:,Sartorius,Rectus femoris,Semimembranosus,Biceps femoris,Vastus medialis,A,
Rafi-Ana-Lower Limb,Anatomy,Lower Limb,"After a lesion of the tibial part of the sciatic nerve, some active flexion may still be possible at the knee due to:",Short head of biceps femoris,Long head of biceps femoris,Semitendinosus,Semimembranosus,Gastrocnemius,A,
Rafi-Ana-Lower Limb,Anatomy,Lower Limb,"A patient came with foot drop, lateral popliteal nerve is damaged. Most common site of fracture is:",Neck of fibula,Shaft of femur,Neck of femur,Patella,Tibia,A,
Rafi-Ana-Lower Limb,Anatomy,Lower Limb,Loss of sensation over the dorsum of the foot suggests damage to:,Tibial nerve,Common peroneal nerve,Femoral nerve,Saphenous nerve,Sural nerve,B,
Rafi-Ana-Lower Limb,Anatomy,Lower Limb,30-year female presented to ER with short left leg rotated laterally. Cause is:,Femur neck fracture,Posterior dislocation of hip,Anterior dislocation of hip,Femur shaft fracture,Tibia fracture,A,
Rafi-Ana-Lower Limb,Anatomy,Lower Limb,Femoral nerve root value is:,"L2, L3, L4","L4, L5, S1","L1, L2, L3","S1, S2, S3","L5, S1, S2",A,
Rafi-Ana-Lower Limb,Anatomy,Lower Limb,"A 35 yr old labour with acute sudden pain starting from lower lumbar area and radiating along post aspect of left lower limb. Symptoms started after lifting heavy weight. O/E straight leg raising restricted to 30 degrees on left side, decreased sensation along lateral border of left foot, weakness of left flexor halluces longus. Compression of which of likely to be:",S1 nerve root,L5 nerve root,L4 nerve root,S2 nerve root,L3 nerve root,A,
Rafi-Ana-Lower Limb,Anatomy,Lower Limb,Numbness of ear lobule while doing internal jugular lymph node biopsy. Which of following nerve is damaged?,Greater auricle,Lesser occipital,Transverse cervical,Supraclavicular,Facial,A,
